Column	Row	Geometry	Frequency
0	0	POLYGON((6.605938020654012E-5 -0.10772582526765812,0.06256147919858121 -0.10772582526765812,0.06256147919858121 -0.03849397560558221,6.605938020654012E-5 -0.03849397560558221,6.605938020654012E-5 -0.10772582526765812))	0
1	0	POLYGON((0.06256147919858121 -0.10772582526765812,0.12505689901695588 -0.10772582526765812,0.12505689901695588 -0.03849397560558221,0.06256147919858121 -0.03849397560558221,0.06256147919858121 -0.10772582526765812))	0
2	0	POLYGON((0.12505689901695588 -0.10772582526765812,0.18755231883533058 -0.10772582526765812,0.18755231883533058 -0.03849397560558221,0.12505689901695588 -0.03849397560558221,0.12505689901695588 -0.10772582526765812))	0
3	0	POLYGON((0.18755231883533058 -0.10772582526765812,0.2500477386537052 -0.10772582526765812,0.2500477386537052 -0.03849397560558221,0.18755231883533058 -0.03849397560558221,0.18755231883533058 -0.10772582526765812))	0
4	0	POLYGON((0.2500477386537052 -0.10772582526765812,0.3125431584720799 -0.10772582526765812,0.3125431584720799 -0.03849397560558221,0.2500477386537052 -0.03849397560558221,0.2500477386537052 -0.10772582526765812))	0
5	0	POLYGON((0.3125431584720799 -0.10772582526765812,0.3750385782904546 -0.10772582526765812,0.3750385782904546 -0.03849397560558221,0.3125431584720799 -0.03849397560558221,0.3125431584720799 -0.10772582526765812))	2
6	0	POLYGON((0.3750385782904546 -0.10772582526765812,0.4375339981088293 -0.10772582526765812,0.4375339981088293 -0.03849397560558221,0.3750385782904546 -0.03849397560558221,0.3750385782904546 -0.10772582526765812))	2
7	0	POLYGON((0.4375339981088293 -0.10772582526765812,0.500029417927204 -0.10772582526765812,0.500029417927204 -0.03849397560558221,0.4375339981088293 -0.03849397560558221,0.4375339981088293 -0.10772582526765812))	2
8	0	POLYGON((0.500029417927204 -0.10772582526765812,0.5625248377455786 -0.10772582526765812,0.5625248377455786 -0.03849397560558221,0.500029417927204 -0.03849397560558221,0.500029417927204 -0.10772582526765812))	7
9	0	POLYGON((0.5625248377455786 -0.10772582526765812,0.6250202575639533 -0.10772582526765812,0.6250202575639533 -0.03849397560558221,0.5625248377455786 -0.03849397560558221,0.5625248377455786 -0.10772582526765812))	2
