Column	Row	Geometry	Frequency
0	0	POLYGON((4.004001547408542E-5 4.004001547408542E-5,0.031299808281072136 4.004001547408542E-5,0.031299808281072136 0.03128335757939393,4.004001547408542E-5 0.03128335757939393,4.004001547408542E-5 4.004001547408542E-5))	322
1	0	POLYGON((0.031299808281072136 4.004001547408542E-5,0.06255957654667019 4.004001547408542E-5,0.06255957654667019 0.03128335757939393,0.031299808281072136 0.03128335757939393,0.031299808281072136 4.004001547408542E-5))	26
2	0	POLYGON((0.06255957654667019 4.004001547408542E-5,0.09381934481226822 4.004001547408542E-5,0.09381934481226822 0.03128335757939393,0.06255957654667019 0.03128335757939393,0.06255957654667019 4.004001547408542E-5))	11
3	0	POLYGON((0.09381934481226822 4.004001547408542E-5,0.1250791130778663 4.004001547408542E-5,0.1250791130778663 0.03128335757939393,0.09381934481226822 0.03128335757939393,0.09381934481226822 4.004001547408542E-5))	4
4	0	POLYGON((0.1250791130778663 4.004001547408542E-5,0.15633888134346435 4.004001547408542E-5,0.15633888134346435 0.03128335757939393,0.1250791130778663 0.03128335757939393,0.1250791130778663 4.004001547408542E-5))	0
5	0	POLYGON((0.15633888134346435 4.004001547408542E-5,0.18759864960906236 4.004001547408542E-5,0.18759864960906236 0.03128335757939393,0.15633888134346435 0.03128335757939393,0.15633888134346435 4.004001547408542E-5))	0
6	0	POLYGON((0.18759864960906236 4.004001547408542E-5,0.21885841787466043 4.004001547408542E-5,0.21885841787466043 0.03128335757939393,0.18759864960906236 0.03128335757939393,0.18759864960906236 4.004001547408542E-5))	0
7	0	POLYGON((0.21885841787466043 4.004001547408542E-5,0.2501181861402585 4.004001547408542E-5,0.2501181861402585 0.03128335757939393,0.21885841787466043 0.03128335757939393,0.21885841787466043 4.004001547408542E-5))	0
8	0	POLYGON((0.2501181861402585 4.004001547408542E-5,0.28137795440585656 4.004001547408542E-5,0.28137795440585656 0.03128335757939393,0.2501181861402585 0.03128335757939393,0.2501181861402585 4.004001547408542E-5))	0
9	0	POLYGON((0.28137795440585656 4.004001547408542E-5,0.3126377226714546 4.004001547408542E-5,0.3126377226714546 0.03128335757939393,0.28137795440585656 0.03128335757939393,0.28137795440585656 4.004001547408542E-5))	0
10	0	POLYGON((0.3126377226714546 4.004001547408542E-5,0.3438974909370527 4.004001547408542E-5,0.3438974909370527 0.03128335757939393,0.3126377226714546 0.03128335757939393,0.3126377226714546 4.004001547408542E-5))	0
11	0	POLYGON((0.3438974909370527 4.004001547408542E-5,0.37515725920265064 4.004001547408542E-5,0.37515725920265064 0.03128335757939393,0.3438974909370527 0.03128335757939393,0.3438974909370527 4.004001547408542E-5))	0
12	0	POLYGON((0.37515725920265064 4.004001547408542E-5,0.4064170274682487 4.004001547408542E-5,0.4064170274682487 0.03128335757939393,0.37515725920265064 0.03128335757939393,0.37515725920265064 4.004001547408542E-5))	0
13	0	POLYGON((0.4064170274682487 4.004001547408542E-5,0.43767679573384677 4.004001547408542E-5,0.43767679573384677 0.03128335757939393,0.4064170274682487 0.03128335757939393,0.4064170274682487 4.004001547408542E-5))	0
14	0	POLYGON((0.43767679573384677 4.004001547408542E-5,0.46893656399944483 4.004001547408542E-5,0.46893656399944483 0.03128335757939393,0.43767679573384677 0.03128335757939393,0.43767679573384677 4.004001547408542E-5))	0
15	0	POLYGON((0.46893656399944483 4.004001547408542E-5,0.5001963322650429 4.004001547408542E-5,0.5001963322650429 0.03128335757939393,0.46893656399944483 0.03128335757939393,0.46893656399944483 4.004001547408542E-5))	0
16	0	POLYGON((0.5001963322650429 4.004001547408542E-5,0.531456100530641 4.004001547408542E-5,0.531456100530641 0.03128335757939393,0.5001963322650429 0.03128335757939393,0.5001963322650429 4.004001547408542E-5))	0
17	0	POLYGON((0.531456100530641 4.004001547408542E-5,0.562715868796239 4.004001547408542E-5,0.562715868796239 0.03128335757939393,0.531456100530641 0.03128335757939393,0.531456100530641 4.004001547408542E-5))	0
18	0	POLYGON((0.562715868796239 4.004001547408542E-5,0.5939756370618371 4.004001547408542E-5,0.5939756370618371 0.03128335757939393,0.562715868796239 0.03128335757939393,0.562715868796239 4.004001547408542E-5))	0
19	0	POLYGON((0.5939756370618371 4.004001547408542E-5,0.6252354053274352 4.004001547408542E-5,0.6252354053274352 0.03128335757939393,0.5939756370618371 0.03128335757939393,0.5939756370618371 4.004001547408542E-5))	0
