Column	Row	Geometry	Frequency
0	0	POLYGON((0.0 0.0,0.015625 0.0,0.015625 0.015625,0.0 0.015625,0.0 0.0))	254
1	0	POLYGON((0.015625 0.0,0.03125 0.0,0.03125 0.015625,0.015625 0.015625,0.015625 0.0))	108
2	0	POLYGON((0.03125 0.0,0.046875 0.0,0.046875 0.015625,0.03125 0.015625,0.03125 0.0))	84
3	0	POLYGON((0.046875 0.0,0.0625 0.0,0.0625 0.015625,0.046875 0.015625,0.046875 0.0))	180
4	0	POLYGON((0.0625 0.0,0.078125 0.0,0.078125 0.015625,0.0625 0.015625,0.0625 0.0))	79
5	0	POLYGON((0.078125 0.0,0.09375 0.0,0.09375 0.015625,0.078125 0.015625,0.078125 0.0))	17
6	0	POLYGON((0.09375 0.0,0.109375 0.0,0.109375 0.015625,0.09375 0.015625,0.09375 0.0))	133
7	0	POLYGON((0.109375 0.0,0.125 0.0,0.125 0.015625,0.109375 0.015625,0.109375 0.0))	3
8	0	POLYGON((0.125 0.0,0.140625 0.0,0.140625 0.015625,0.125 0.015625,0.125 0.0))	190
9	0	POLYGON((0.140625 0.0,0.15625 0.0,0.15625 0.015625,0.140625 0.015625,0.140625 0.0))	36
10	0	POLYGON((0.15625 0.0,0.171875 0.0,0.171875 0.015625,0.15625 0.015625,0.15625 0.0))	14
11	0	POLYGON((0.171875 0.0,0.1875 0.0,0.1875 0.015625,0.171875 0.015625,0.171875 0.0))	69
12	0	POLYGON((0.1875 0.0,0.203125 0.0,0.203125 0.015625,0.1875 0.015625,0.1875 0.0))	9
13	0	POLYGON((0.203125 0.0,0.21875 0.0,0.21875 0.015625,0.203125 0.015625,0.203125 0.0))	6
14	0	POLYGON((0.21875 0.0,0.234375 0.0,0.234375 0.015625,0.21875 0.015625,0.21875 0.0))	30
15	0	POLYGON((0.234375 0.0,0.25 0.0,0.25 0.015625,0.234375 0.015625,0.234375 0.0))	8
16	0	POLYGON((0.25 0.0,0.265625 0.0,0.265625 0.015625,0.25 0.015625,0.25 0.0))	7
17	0	POLYGON((0.265625 0.0,0.28125 0.0,0.28125 0.015625,0.265625 0.015625,0.265625 0.0))	14
18	0	POLYGON((0.28125 0.0,0.296875 0.0,0.296875 0.015625,0.28125 0.015625,0.28125 0.0))	0
19	0	POLYGON((0.296875 0.0,0.3125 0.0,0.3125 0.015625,0.296875 0.015625,0.296875 0.0))	0
20	0	POLYGON((0.3125 0.0,0.328125 0.0,0.328125 0.015625,0.3125 0.015625,0.3125 0.0))	0
21	0	POLYGON((0.328125 0.0,0.34375 0.0,0.34375 0.015625,0.328125 0.015625,0.328125 0.0))	0
22	0	POLYGON((0.34375 0.0,0.359375 0.0,0.359375 0.015625,0.34375 0.015625,0.34375 0.0))	1
23	0	POLYGON((0.359375 0.0,0.375 0.0,0.375 0.015625,0.359375 0.015625,0.359375 0.0))	0
24	0	POLYGON((0.375 0.0,0.390625 0.0,0.390625 0.015625,0.375 0.015625,0.375 0.0))	1
25	0	POLYGON((0.390625 0.0,0.40625 0.0,0.40625 0.015625,0.390625 0.015625,0.390625 0.0))	0
26	0	POLYGON((0.40625 0.0,0.421875 0.0,0.421875 0.015625,0.40625 0.015625,0.40625 0.0))	0
27	0	POLYGON((0.421875 0.0,0.4375 0.0,0.4375 0.015625,0.421875 0.015625,0.421875 0.0))	3
28	0	POLYGON((0.4375 0.0,0.453125 0.0,0.453125 0.015625,0.4375 0.015625,0.4375 0.0))	5
29	0	POLYGON((0.453125 0.0,0.46875 0.0,0.46875 0.015625,0.453125 0.015625,0.453125 0.0))	1
30	0	POLYGON((0.46875 0.0,0.484375 0.0,0.484375 0.015625,0.46875 0.015625,0.46875 0.0))	2
31	0	POLYGON((0.484375 0.0,0.5 0.0,0.5 0.015625,0.484375 0.015625,0.484375 0.0))	4
32	0	POLYGON((0.5 0.0,0.515625 0.0,0.515625 0.015625,0.5 0.015625,0.5 0.0))	13
33	0	POLYGON((0.515625 0.0,0.53125 0.0,0.53125 0.015625,0.515625 0.015625,0.515625 0.0))	4
34	0	POLYGON((0.53125 0.0,0.546875 0.0,0.546875 0.015625,0.53125 0.015625,0.53125 0.0))	1
35	0	POLYGON((0.546875 0.0,0.5625 0.0,0.5625 0.015625,0.546875 0.015625,0.546875 0.0))	0
36	0	POLYGON((0.5625 0.0,0.578125 0.0,0.578125 0.015625,0.5625 0.015625,0.5625 0.0))	0
37	0	POLYGON((0.578125 0.0,0.59375 0.0,0.59375 0.015625,0.578125 0.015625,0.578125 0.0))	1
38	0	POLYGON((0.59375 0.0,0.609375 0.0,0.609375 0.015625,0.59375 0.015625,0.59375 0.0))	0
