Column	Row	Geometry	Frequency
0	0	POLYGON((1.6492761089659247E-4 8.720986684584986E-6,0.06274926816766604 8.720986684584986E-6,0.06274926816766604 0.0626061242330834,1.6492761089659247E-4 0.0626061242330834,1.6492761089659247E-4 8.720986684584986E-6))	72
1	0	POLYGON((0.06274926816766604 8.720986684584986E-6,0.1253336087244355 8.720986684584986E-6,0.1253336087244355 0.0626061242330834,0.06274926816766604 0.0626061242330834,0.06274926816766604 8.720986684584986E-6))	67
2	0	POLYGON((0.1253336087244355 8.720986684584986E-6,0.18791794928120492 8.720986684584986E-6,0.18791794928120492 0.0626061242330834,0.1253336087244355 0.0626061242330834,0.1253336087244355 8.720986684584986E-6))	67
3	0	POLYGON((0.18791794928120492 8.720986684584986E-6,0.2505022898379744 8.720986684584986E-6,0.2505022898379744 0.0626061242330834,0.18791794928120492 0.0626061242330834,0.18791794928120492 8.720986684584986E-6))	90
4	0	POLYGON((0.2505022898379744 8.720986684584986E-6,0.3130866303947439 8.720986684584986E-6,0.3130866303947439 0.0626061242330834,0.2505022898379744 0.0626061242330834,0.2505022898379744 8.720986684584986E-6))	62
5	0	POLYGON((0.3130866303947439 8.720986684584986E-6,0.37567097095151325 8.720986684584986E-6,0.37567097095151325 0.0626061242330834,0.3130866303947439 0.0626061242330834,0.3130866303947439 8.720986684584986E-6))	85
6	0	POLYGON((0.37567097095151325 8.720986684584986E-6,0.43825531150828273 8.720986684584986E-6,0.43825531150828273 0.0626061242330834,0.37567097095151325 0.0626061242330834,0.37567097095151325 8.720986684584986E-6))	75
7	0	POLYGON((0.43825531150828273 8.720986684584986E-6,0.5008396520650522 8.720986684584986E-6,0.5008396520650522 0.0626061242330834,0.43825531150828273 0.0626061242330834,0.43825531150828273 8.720986684584986E-6))	96
8	0	POLYGON((0.5008396520650522 8.720986684584986E-6,0.5634239926218216 8.720986684584986E-6,0.5634239926218216 0.0626061242330834,0.5008396520650522 0.0626061242330834,0.5008396520650522 8.720986684584986E-6))	71
9	0	POLYGON((0.5634239926218216 8.720986684584986E-6,0.6260083331785912 8.720986684584986E-6,0.6260083331785912 0.0626061242330834,0.5634239926218216 0.0626061242330834,0.5634239926218216 8.720986684584986E-6))	85
10	0	POLYGON((0.6260083331785912 8.720986684584986E-6,0.6885926737353606 8.720986684584986E-6,0.6885926737353606 0.0626061242330834,0.6260083331785912 0.0626061242330834,0.6260083331785912 8.720986684584986E-6))	69
11	0	POLYGON((0.6885926737353606 8.720986684584986E-6,0.7511770142921299 8.720986684584986E-6,0.7511770142921299 0.0626061242330834,0.6885926737353606 0.0626061242330834,0.6885926737353606 8.720986684584986E-6))	70
12	0	POLYGON((0.7511770142921299 8.720986684584986E-6,0.8137613548488994 8.720986684584986E-6,0.8137613548488994 0.0626061242330834,0.7511770142921299 0.0626061242330834,0.7511770142921299 8.720986684584986E-6))	81
13	0	POLYGON((0.8137613548488994 8.720986684584986E-6,0.8763456954056689 8.720986684584986E-6,0.8763456954056689 0.0626061242330834,0.8137613548488994 0.0626061242330834,0.8137613548488994 8.720986684584986E-6))	87
14	0	POLYGON((0.8763456954056689 8.720986684584986E-6,0.9389300359624384 8.720986684584986E-6,0.9389300359624384 0.0626061242330834,0.8763456954056689 0.0626061242330834,0.8763456954056689 8.720986684584986E-6))	86
15	0	POLYGON((0.9389300359624384 8.720986684584986E-6,1.0015143765192078 8.720986684584986E-6,1.0015143765192078 0.0626061242330834,0.9389300359624384 0.0626061242330834,0.9389300359624384 8.720986684584986E-6))	72
0	1	POLYGON((1.6492761089659247E-4 0.0626061242330834,0.06274926816766604 0.0626061242330834,0.06274926816766604 0.1252035274794822,1.6492761089659247E-4 0.1252035274794822,1.6492761089659247E-4 0.0626061242330834))	69
1	1	POLYGON((0.06274926816766604 0.0626061242330834,0.1253336087244355 0.0626061242330834,0.1253336087244355 0.1252035274794822,0.06274926816766604 0.1252035274794822,0.06274926816766604 0.0626061242330834))	97
2	1	POLYGON((0.1253336087244355 0.0626061242330834,0.18791794928120492 0.0626061242330834,0.18791794928120492 0.1252035274794822,0.1253336087244355 0.1252035274794822,0.1253336087244355 0.0626061242330834))	76
3	1	POLYGON((0.18791794928120492 0.0626061242330834,0.2505022898379744 0.0626061242330834,0.2505022898379744 0.1252035274794822,0.18791794928120492 0.1252035274794822,0.18791794928120492 0.0626061242330834))	84
