,dataset1,dataset2,result_size,card_x,card_y,join_selectivity
0,diagonal_001_10.csv,diagonal_002_10.csv,4654007,143470,126760,255907.90610835527
1,diagonal_001_10.csv,diagonal_003_10.csv,7888986,143470,278640,197340.68237442253
2,diagonal_002_10.csv,diagonal_003_10.csv,8072751,126760,278640,228557.70425110398
3,diagonal_001_10.csv,gaussian_001_10.csv,630802,143470,176550,24903.720952717485
4,diagonal_002_10.csv,gaussian_001_10.csv,614644,126760,176550,27464.626297360468
5,diagonal_003_10.csv,gaussian_001_10.csv,1592441,278640,176550,32370.70569655273
6,diagonal_001_10.csv,gaussian_002_10.csv,483406,143470,157510,21391.57722278795
7,diagonal_002_10.csv,gaussian_002_10.csv,463939,126760,157510,23236.48967556173
8,diagonal_003_10.csv,gaussian_002_10.csv,1209514,278640,157510,27558.736774443027
9,gaussian_001_10.csv,gaussian_002_10.csv,2252773,176550,157510,81010.54967564557
10,diagonal_001_10.csv,gaussian_003_10.csv,702670,143470,186250,26296.26285784321
11,diagonal_002_10.csv,gaussian_003_10.csv,690096,126760,186250,29230.146914001198
12,diagonal_003_10.csv,gaussian_003_10.csv,1788229,278640,186250,34457.470320848915
13,gaussian_001_10.csv,gaussian_003_10.csv,3298228,176550,186250,100303.63472902517
14,gaussian_002_10.csv,gaussian_003_10.csv,2560415,157510,186250,87278.23395893902
15,diagonal_001_10.csv,uniform_001_10.csv,136325,143470,116930,8126.2178038222355
16,diagonal_002_10.csv,uniform_001_10.csv,123664,126760,116930,8343.247168805323
17,diagonal_003_10.csv,uniform_001_10.csv,321891,278640,116930,9879.601398777055
18,gaussian_001_10.csv,uniform_001_10.csv,209718,176550,116930,10158.791239572056
19,gaussian_002_10.csv,uniform_001_10.csv,156384,157510,116930,8490.988177027612
20,gaussian_003_10.csv,uniform_001_10.csv,238696,186250,116930,10960.311825408076
21,diagonal_001_10.csv,uniform_002_10.csv,288858,143470,226900,8873.374387386266
22,diagonal_002_10.csv,uniform_002_10.csv,265276,126760,226900,9223.191670186377
23,diagonal_003_10.csv,uniform_002_10.csv,684988,278640,226900,10834.403506447674
24,gaussian_001_10.csv,uniform_002_10.csv,443708,176550,226900,11076.308448035463
25,gaussian_002_10.csv,uniform_002_10.csv,334738,157510,226900,9366.177622278889
26,gaussian_003_10.csv,uniform_002_10.csv,497389,186250,226900,11769.700160612398
27,uniform_001_10.csv,uniform_002_10.csv,252364,116930,226900,9511.893013479077
28,diagonal_001_10.csv,uniform_003_10.csv,186913,143470,120240,10835.013136293339
29,diagonal_002_10.csv,uniform_003_10.csv,171911,126760,120240,11279.048613617406
30,diagonal_003_10.csv,uniform_003_10.csv,437469,278640,120240,13057.344254929703
31,gaussian_001_10.csv,uniform_003_10.csv,279652,176550,120240,13173.501952952398
32,gaussian_002_10.csv,uniform_003_10.csv,215755,157510,120240,11392.099512063
33,gaussian_003_10.csv,uniform_003_10.csv,312641,186250,120240,13960.490651806007
34,uniform_001_10.csv,uniform_003_10.csv,161527,116930,120240,11488.682033293657
35,uniform_002_10.csv,uniform_003_10.csv,336987,226900,120240,12351.783871657302
