Column	Row	Geometry	Frequency
0	0	POLYGON((2.65122128990658E-5 2.65122128990658E-5,0.06257836405191212 2.65122128990658E-5,0.06257836405191212 0.06260476030940856,2.65122128990658E-5 0.06260476030940856,2.65122128990658E-5 2.65122128990658E-5))	1250
1	0	POLYGON((0.06257836405191212 2.65122128990658E-5,0.12513021589092518 2.65122128990658E-5,0.12513021589092518 0.06260476030940856,0.06257836405191212 0.06260476030940856,0.06257836405191212 2.65122128990658E-5))	67
2	0	POLYGON((0.12513021589092518 2.65122128990658E-5,0.18768206772993823 2.65122128990658E-5,0.18768206772993823 0.06260476030940856,0.12513021589092518 0.06260476030940856,0.12513021589092518 2.65122128990658E-5))	2
3	0	POLYGON((0.18768206772993823 2.65122128990658E-5,0.2502339195689513 2.65122128990658E-5,0.2502339195689513 0.06260476030940856,0.18768206772993823 0.06260476030940856,0.18768206772993823 2.65122128990658E-5))	0
4	0	POLYGON((0.2502339195689513 2.65122128990658E-5,0.3127857714079644 2.65122128990658E-5,0.3127857714079644 0.06260476030940856,0.2502339195689513 0.06260476030940856,0.2502339195689513 2.65122128990658E-5))	0
5	0	POLYGON((0.3127857714079644 2.65122128990658E-5,0.3753376232469774 2.65122128990658E-5,0.3753376232469774 0.06260476030940856,0.3127857714079644 0.06260476030940856,0.3127857714079644 2.65122128990658E-5))	0
6	0	POLYGON((0.3753376232469774 2.65122128990658E-5,0.43788947508599046 2.65122128990658E-5,0.43788947508599046 0.06260476030940856,0.3753376232469774 0.06260476030940856,0.3753376232469774 2.65122128990658E-5))	0
7	0	POLYGON((0.43788947508599046 2.65122128990658E-5,0.5004413269250035 2.65122128990658E-5,0.5004413269250035 0.06260476030940856,0.43788947508599046 0.06260476030940856,0.43788947508599046 2.65122128990658E-5))	0
8	0	POLYGON((0.5004413269250035 2.65122128990658E-5,0.5629931787640166 2.65122128990658E-5,0.5629931787640166 0.06260476030940856,0.5004413269250035 0.06260476030940856,0.5004413269250035 2.65122128990658E-5))	0
9	0	POLYGON((0.5629931787640166 2.65122128990658E-5,0.6255450306030297 2.65122128990658E-5,0.6255450306030297 0.06260476030940856,0.5629931787640166 0.06260476030940856,0.5629931787640166 2.65122128990658E-5))	0
10	0	POLYGON((0.6255450306030297 2.65122128990658E-5,0.6880968824420427 2.65122128990658E-5,0.6880968824420427 0.06260476030940856,0.6255450306030297 0.06260476030940856,0.6255450306030297 2.65122128990658E-5))	0
11	0	POLYGON((0.6880968824420427 2.65122128990658E-5,0.7506487342810557 2.65122128990658E-5,0.7506487342810557 0.06260476030940856,0.6880968824420427 0.06260476030940856,0.6880968824420427 2.65122128990658E-5))	0
12	0	POLYGON((0.7506487342810557 2.65122128990658E-5,0.8132005861200688 2.65122128990658E-5,0.8132005861200688 0.06260476030940856,0.7506487342810557 0.06260476030940856,0.7506487342810557 2.65122128990658E-5))	0
13	0	POLYGON((0.8132005861200688 2.65122128990658E-5,0.8757524379590819 2.65122128990658E-5,0.8757524379590819 0.06260476030940856,0.8132005861200688 0.06260476030940856,0.8132005861200688 2.65122128990658E-5))	0
14	0	POLYGON((0.8757524379590819 2.65122128990658E-5,0.938304289798095 2.65122128990658E-5,0.938304289798095 0.06260476030940856,0.8757524379590819 0.06260476030940856,0.8757524379590819 2.65122128990658E-5))	0
15	0	POLYGON((0.938304289798095 2.65122128990658E-5,1.000856141637108 2.65122128990658E-5,1.000856141637108 0.06260476030940856,0.938304289798095 0.06260476030940856,0.938304289798095 2.65122128990658E-5))	0
0	1	POLYGON((2.65122128990658E-5 0.06260476030940856,0.06257836405191212 0.06260476030940856,0.06257836405191212 0.12518300840591806,2.65122128990658E-5 0.12518300840591806,2.65122128990658E-5 0.06260476030940856))	84
1	1	POLYGON((0.06257836405191212 0.06260476030940856,0.12513021589092518 0.06260476030940856,0.12513021589092518 0.12518300840591806,0.06257836405191212 0.12518300840591806,0.06257836405191212 0.06260476030940856))	1191
2	1	POLYGON((0.12513021589092518 0.06260476030940856,0.18768206772993823 0.06260476030940856,0.18768206772993823 0.12518300840591806,0.12513021589092518 0.12518300840591806,0.12513021589092518 0.06260476030940856))	93
3	1	POLYGON((0.18768206772993823 0.06260476030940856,0.2502339195689513 0.06260476030940856,0.2502339195689513 0.12518300840591806,0.18768206772993823 0.12518300840591806,0.18768206772993823 0.06260476030940856))	2
4	1	POLYGON((0.2502339195689513 0.06260476030940856,0.3127857714079644 0.06260476030940856,0.3127857714079644 0.12518300840591806,0.2502339195689513 0.12518300840591806,0.2502339195689513 0.06260476030940856))	0
5	1	POLYGON((0.3127857714079644 0.06260476030940856,0.3753376232469774 0.06260476030940856,0.3753376232469774 0.12518300840591806,0.3127857714079644 0.12518300840591806,0.3127857714079644 0.06260476030940856))	0
6	1	POLYGON((0.3753376232469774 0.06260476030940856,0.43788947508599046 0.06260476030940856,0.43788947508599046 0.12518300840591806,0.3753376232469774 0.12518300840591806,0.3753376232469774 0.06260476030940856))	0
7	1	POLYGON((0.43788947508599046 0.06260476030940856,0.5004413269250035 0.06260476030940856,0.5004413269250035 0.12518300840591806,0.43788947508599046 0.12518300840591806,0.43788947508599046 0.06260476030940856))	0
8	1	POLYGON((0.5004413269250035 0.06260476030940856,0.5629931787640166 0.06260476030940856,0.5629931787640166 0.12518300840591806,0.5004413269250035 0.12518300840591806,0.5004413269250035 0.06260476030940856))	0
9	1	POLYGON((0.5629931787640166 0.06260476030940856,0.6255450306030297 0.06260476030940856,0.6255450306030297 0.12518300840591806,0.5629931787640166 0.12518300840591806,0.5629931787640166 0.06260476030940856))	0
10	1	POLYGON((0.6255450306030297 0.06260476030940856,0.6880968824420427 0.06260476030940856,0.6880968824420427 0.12518300840591806,0.6255450306030297 0.12518300840591806,0.6255450306030297 0.06260476030940856))	0
