Column	Row	Geometry	Frequency
0	0	POLYGON((0.07722658295204832 0.20973491333797692,0.1302134550710627 0.20973491333797692,0.1302134550710627 0.2640001077921171,0.07722658295204832 0.2640001077921171,0.07722658295204832 0.20973491333797692))	0
1	0	POLYGON((0.1302134550710627 0.20973491333797692,0.18320032719007706 0.20973491333797692,0.18320032719007706 0.2640001077921171,0.1302134550710627 0.2640001077921171,0.1302134550710627 0.20973491333797692))	0
2	0	POLYGON((0.18320032719007706 0.20973491333797692,0.23618719930909143 0.20973491333797692,0.23618719930909143 0.2640001077921171,0.18320032719007706 0.2640001077921171,0.18320032719007706 0.20973491333797692))	0
3	0	POLYGON((0.23618719930909143 0.20973491333797692,0.2891740714281058 0.20973491333797692,0.2891740714281058 0.2640001077921171,0.23618719930909143 0.2640001077921171,0.23618719930909143 0.20973491333797692))	0
4	0	POLYGON((0.2891740714281058 0.20973491333797692,0.3421609435471201 0.20973491333797692,0.3421609435471201 0.2640001077921171,0.2891740714281058 0.2640001077921171,0.2891740714281058 0.20973491333797692))	0
5	0	POLYGON((0.3421609435471201 0.20973491333797692,0.39514781566613455 0.20973491333797692,0.39514781566613455 0.2640001077921171,0.3421609435471201 0.2640001077921171,0.3421609435471201 0.20973491333797692))	0
6	0	POLYGON((0.39514781566613455 0.20973491333797692,0.44813468778514887 0.20973491333797692,0.44813468778514887 0.2640001077921171,0.39514781566613455 0.2640001077921171,0.39514781566613455 0.20973491333797692))	0
7	0	POLYGON((0.44813468778514887 0.20973491333797692,0.5011215599041632 0.20973491333797692,0.5011215599041632 0.2640001077921171,0.44813468778514887 0.2640001077921171,0.44813468778514887 0.20973491333797692))	0
8	0	POLYGON((0.5011215599041632 0.20973491333797692,0.5541084320231776 0.20973491333797692,0.5541084320231776 0.2640001077921171,0.5011215599041632 0.2640001077921171,0.5011215599041632 0.20973491333797692))	1
9	0	POLYGON((0.5541084320231776 0.20973491333797692,0.6070953041421919 0.20973491333797692,0.6070953041421919 0.2640001077921171,0.5541084320231776 0.2640001077921171,0.5541084320231776 0.20973491333797692))	0
10	0	POLYGON((0.6070953041421919 0.20973491333797692,0.6600821762612062 0.20973491333797692,0.6600821762612062 0.2640001077921171,0.6070953041421919 0.2640001077921171,0.6070953041421919 0.20973491333797692))	0
11	0	POLYGON((0.6600821762612062 0.20973491333797692,0.7130690483802208 0.20973491333797692,0.7130690483802208 0.2640001077921171,0.6600821762612062 0.2640001077921171,0.6600821762612062 0.20973491333797692))	0
12	0	POLYGON((0.7130690483802208 0.20973491333797692,0.7660559204992351 0.20973491333797692,0.7660559204992351 0.2640001077921171,0.7130690483802208 0.2640001077921171,0.7130690483802208 0.20973491333797692))	0
