Column	Row	Geometry	Frequency
0	0	POLYGON((4.8749292812289013E-5 1.8339421047230964E-5,0.0626453872687544 1.8339421047230964E-5,0.0626453872687544 0.06250279406426312,4.8749292812289013E-5 0.06250279406426312,4.8749292812289013E-5 1.8339421047230964E-5))	40
1	0	POLYGON((0.0626453872687544 1.8339421047230964E-5,0.12524202524469652 1.8339421047230964E-5,0.12524202524469652 0.06250279406426312,0.0626453872687544 0.06250279406426312,0.0626453872687544 1.8339421047230964E-5))	41
2	0	POLYGON((0.12524202524469652 1.8339421047230964E-5,0.18783866322063864 1.8339421047230964E-5,0.18783866322063864 0.06250279406426312,0.12524202524469652 0.06250279406426312,0.12524202524469652 1.8339421047230964E-5))	47
3	0	POLYGON((0.18783866322063864 1.8339421047230964E-5,0.25043530119658075 1.8339421047230964E-5,0.25043530119658075 0.06250279406426312,0.18783866322063864 0.06250279406426312,0.18783866322063864 1.8339421047230964E-5))	37
4	0	POLYGON((0.25043530119658075 1.8339421047230964E-5,0.31303193917252287 1.8339421047230964E-5,0.31303193917252287 0.06250279406426312,0.25043530119658075 0.06250279406426312,0.25043530119658075 1.8339421047230964E-5))	50
5	0	POLYGON((0.31303193917252287 1.8339421047230964E-5,0.375628577148465 1.8339421047230964E-5,0.375628577148465 0.06250279406426312,0.31303193917252287 0.06250279406426312,0.31303193917252287 1.8339421047230964E-5))	59
6	0	POLYGON((0.375628577148465 1.8339421047230964E-5,0.4382252151244071 1.8339421047230964E-5,0.4382252151244071 0.06250279406426312,0.375628577148465 0.06250279406426312,0.375628577148465 1.8339421047230964E-5))	48
7	0	POLYGON((0.4382252151244071 1.8339421047230964E-5,0.5008218531003492 1.8339421047230964E-5,0.5008218531003492 0.06250279406426312,0.4382252151244071 0.06250279406426312,0.4382252151244071 1.8339421047230964E-5))	50
8	0	POLYGON((0.5008218531003492 1.8339421047230964E-5,0.5634184910762914 1.8339421047230964E-5,0.5634184910762914 0.06250279406426312,0.5008218531003492 0.06250279406426312,0.5008218531003492 1.8339421047230964E-5))	44
9	0	POLYGON((0.5634184910762914 1.8339421047230964E-5,0.6260151290522334 1.8339421047230964E-5,0.6260151290522334 0.06250279406426312,0.5634184910762914 0.06250279406426312,0.5634184910762914 1.8339421047230964E-5))	43
10	0	POLYGON((0.6260151290522334 1.8339421047230964E-5,0.6886117670281755 1.8339421047230964E-5,0.6886117670281755 0.06250279406426312,0.6260151290522334 0.06250279406426312,0.6260151290522334 1.8339421047230964E-5))	45
11	0	POLYGON((0.6886117670281755 1.8339421047230964E-5,0.7512084050041177 1.8339421047230964E-5,0.7512084050041177 0.06250279406426312,0.6886117670281755 0.06250279406426312,0.6886117670281755 1.8339421047230964E-5))	40
12	0	POLYGON((0.7512084050041177 1.8339421047230964E-5,0.8138050429800598 1.8339421047230964E-5,0.8138050429800598 0.06250279406426312,0.7512084050041177 0.06250279406426312,0.7512084050041177 1.8339421047230964E-5))	48
13	0	POLYGON((0.8138050429800598 1.8339421047230964E-5,0.8764016809560019 1.8339421047230964E-5,0.8764016809560019 0.06250279406426312,0.8138050429800598 0.06250279406426312,0.8138050429800598 1.8339421047230964E-5))	55
14	0	POLYGON((0.8764016809560019 1.8339421047230964E-5,0.938998318931944 1.8339421047230964E-5,0.938998318931944 0.06250279406426312,0.8764016809560019 0.06250279406426312,0.8764016809560019 1.8339421047230964E-5))	47
15	0	POLYGON((0.938998318931944 1.8339421047230964E-5,1.0015949569078861 1.8339421047230964E-5,1.0015949569078861 0.06250279406426312,0.938998318931944 0.06250279406426312,0.938998318931944 1.8339421047230964E-5))	47
0	1	POLYGON((4.8749292812289013E-5 0.06250279406426312,0.0626453872687544 0.06250279406426312,0.0626453872687544 0.124987248707479,4.8749292812289013E-5 0.124987248707479,4.8749292812289013E-5 0.06250279406426312))	60
1	1	POLYGON((0.0626453872687544 0.06250279406426312,0.12524202524469652 0.06250279406426312,0.12524202524469652 0.124987248707479,0.0626453872687544 0.124987248707479,0.0626453872687544 0.06250279406426312))	47
2	1	POLYGON((0.12524202524469652 0.06250279406426312,0.18783866322063864 0.06250279406426312,0.18783866322063864 0.124987248707479,0.12524202524469652 0.124987248707479,0.12524202524469652 0.06250279406426312))	53
3	1	POLYGON((0.18783866322063864 0.06250279406426312,0.25043530119658075 0.06250279406426312,0.25043530119658075 0.124987248707479,0.18783866322063864 0.124987248707479,0.18783866322063864 0.06250279406426312))	48
4	1	POLYGON((0.25043530119658075 0.06250279406426312,0.31303193917252287 0.06250279406426312,0.31303193917252287 0.124987248707479,0.25043530119658075 0.124987248707479,0.25043530119658075 0.06250279406426312))	52
5	1	POLYGON((0.31303193917252287 0.06250279406426312,0.375628577148465 0.06250279406426312,0.375628577148465 0.124987248707479,0.31303193917252287 0.124987248707479,0.31303193917252287 0.06250279406426312))	51
6	1	POLYGON((0.375628577148465 0.06250279406426312,0.4382252151244071 0.06250279406426312,0.4382252151244071 0.124987248707479,0.375628577148465 0.124987248707479,0.375628577148465 0.06250279406426312))	50
7	1	POLYGON((0.4382252151244071 0.06250279406426312,0.5008218531003492 0.06250279406426312,0.5008218531003492 0.124987248707479,0.4382252151244071 0.124987248707479,0.4382252151244071 0.06250279406426312))	46
