Column	Row	Geometry	Frequency
0	0	POLYGON((0.0 0.0,0.03124990581718427 0.0,0.03124990581718427 0.03124971480458009,0.0 0.03124971480458009,0.0 0.0))	71
1	0	POLYGON((0.03124990581718427 0.0,0.06249981163436854 0.0,0.06249981163436854 0.03124971480458009,0.03124990581718427 0.03124971480458009,0.03124990581718427 0.0))	19
2	0	POLYGON((0.06249981163436854 0.0,0.0937497174515528 0.0,0.0937497174515528 0.03124971480458009,0.06249981163436854 0.03124971480458009,0.06249981163436854 0.0))	8
3	0	POLYGON((0.0937497174515528 0.0,0.12499962326873708 0.0,0.12499962326873708 0.03124971480458009,0.0937497174515528 0.03124971480458009,0.0937497174515528 0.0))	6
4	0	POLYGON((0.12499962326873708 0.0,0.15624952908592135 0.0,0.15624952908592135 0.03124971480458009,0.12499962326873708 0.03124971480458009,0.12499962326873708 0.0))	227
5	0	POLYGON((0.15624952908592135 0.0,0.1874994349031056 0.0,0.1874994349031056 0.03124971480458009,0.15624952908592135 0.03124971480458009,0.15624952908592135 0.0))	120
6	0	POLYGON((0.1874994349031056 0.0,0.2187493407202899 0.0,0.2187493407202899 0.03124971480458009,0.1874994349031056 0.03124971480458009,0.1874994349031056 0.0))	317
7	0	POLYGON((0.2187493407202899 0.0,0.24999924653747416 0.0,0.24999924653747416 0.03124971480458009,0.2187493407202899 0.03124971480458009,0.2187493407202899 0.0))	75
8	0	POLYGON((0.24999924653747416 0.0,0.2812491523546584 0.0,0.2812491523546584 0.03124971480458009,0.24999924653747416 0.03124971480458009,0.24999924653747416 0.0))	2
9	0	POLYGON((0.2812491523546584 0.0,0.3124990581718427 0.0,0.3124990581718427 0.03124971480458009,0.2812491523546584 0.03124971480458009,0.2812491523546584 0.0))	10
10	0	POLYGON((0.3124990581718427 0.0,0.343748963989027 0.0,0.343748963989027 0.03124971480458009,0.3124990581718427 0.03124971480458009,0.3124990581718427 0.0))	74
11	0	POLYGON((0.343748963989027 0.0,0.3749988698062112 0.0,0.3749988698062112 0.03124971480458009,0.343748963989027 0.03124971480458009,0.343748963989027 0.0))	30
12	0	POLYGON((0.3749988698062112 0.0,0.4062487756233955 0.0,0.4062487756233955 0.03124971480458009,0.3749988698062112 0.03124971480458009,0.3749988698062112 0.0))	14
13	0	POLYGON((0.4062487756233955 0.0,0.4374986814405798 0.0,0.4374986814405798 0.03124971480458009,0.4062487756233955 0.03124971480458009,0.4062487756233955 0.0))	18
14	0	POLYGON((0.4374986814405798 0.0,0.468748587257764 0.0,0.468748587257764 0.03124971480458009,0.4374986814405798 0.03124971480458009,0.4374986814405798 0.0))	11
15	0	POLYGON((0.468748587257764 0.0,0.4999984930749483 0.0,0.4999984930749483 0.03124971480458009,0.468748587257764 0.03124971480458009,0.468748587257764 0.0))	14
16	0	POLYGON((0.4999984930749483 0.0,0.5312483988921326 0.0,0.5312483988921326 0.03124971480458009,0.4999984930749483 0.03124971480458009,0.4999984930749483 0.0))	200
17	0	POLYGON((0.5312483988921326 0.0,0.5624983047093168 0.0,0.5624983047093168 0.03124971480458009,0.5312483988921326 0.03124971480458009,0.5312483988921326 0.0))	68
18	0	POLYGON((0.5624983047093168 0.0,0.5937482105265012 0.0,0.5937482105265012 0.03124971480458009,0.5624983047093168 0.03124971480458009,0.5624983047093168 0.0))	47
19	0	POLYGON((0.5937482105265012 0.0,0.6249981163436854 0.0,0.6249981163436854 0.03124971480458009,0.5937482105265012 0.03124971480458009,0.5937482105265012 0.0))	120
