Column	Row	Geometry	Frequency
0	0	POLYGON((1.4428921862874589E-6 2.452214417847376E-5,0.031270855326565705 2.452214417847376E-5,0.031270855326565705 0.03128095766324797,1.4428921862874589E-6 0.03128095766324797,1.4428921862874589E-6 2.452214417847376E-5))	19
1	0	POLYGON((0.031270855326565705 2.452214417847376E-5,0.06254026776094512 2.452214417847376E-5,0.06254026776094512 0.03128095766324797,0.031270855326565705 0.03128095766324797,0.031270855326565705 2.452214417847376E-5))	14
2	0	POLYGON((0.06254026776094512 2.452214417847376E-5,0.09380968019532453 2.452214417847376E-5,0.09380968019532453 0.03128095766324797,0.06254026776094512 0.03128095766324797,0.06254026776094512 2.452214417847376E-5))	23
3	0	POLYGON((0.09380968019532453 2.452214417847376E-5,0.12507909262970396 2.452214417847376E-5,0.12507909262970396 0.03128095766324797,0.09380968019532453 0.03128095766324797,0.09380968019532453 2.452214417847376E-5))	23
4	0	POLYGON((0.12507909262970396 2.452214417847376E-5,0.15634850506408335 2.452214417847376E-5,0.15634850506408335 0.03128095766324797,0.12507909262970396 0.03128095766324797,0.12507909262970396 2.452214417847376E-5))	22
5	0	POLYGON((0.15634850506408335 2.452214417847376E-5,0.18761791749846277 2.452214417847376E-5,0.18761791749846277 0.03128095766324797,0.15634850506408335 0.03128095766324797,0.15634850506408335 2.452214417847376E-5))	26
6	0	POLYGON((0.18761791749846277 2.452214417847376E-5,0.21888732993284218 2.452214417847376E-5,0.21888732993284218 0.03128095766324797,0.18761791749846277 0.03128095766324797,0.18761791749846277 2.452214417847376E-5))	25
7	0	POLYGON((0.21888732993284218 2.452214417847376E-5,0.25015674236722163 2.452214417847376E-5,0.25015674236722163 0.03128095766324797,0.21888732993284218 0.03128095766324797,0.21888732993284218 2.452214417847376E-5))	19
8	0	POLYGON((0.25015674236722163 2.452214417847376E-5,0.281426154801601 2.452214417847376E-5,0.281426154801601 0.03128095766324797,0.25015674236722163 0.03128095766324797,0.25015674236722163 2.452214417847376E-5))	22
9	0	POLYGON((0.281426154801601 2.452214417847376E-5,0.3126955672359804 2.452214417847376E-5,0.3126955672359804 0.03128095766324797,0.281426154801601 0.03128095766324797,0.281426154801601 2.452214417847376E-5))	14
10	0	POLYGON((0.3126955672359804 2.452214417847376E-5,0.3439649796703598 2.452214417847376E-5,0.3439649796703598 0.03128095766324797,0.3126955672359804 0.03128095766324797,0.3126955672359804 2.452214417847376E-5))	20
11	0	POLYGON((0.3439649796703598 2.452214417847376E-5,0.37523439210473924 2.452214417847376E-5,0.37523439210473924 0.03128095766324797,0.3439649796703598 0.03128095766324797,0.3439649796703598 2.452214417847376E-5))	15
12	0	POLYGON((0.37523439210473924 2.452214417847376E-5,0.40650380453911866 2.452214417847376E-5,0.40650380453911866 0.03128095766324797,0.37523439210473924 0.03128095766324797,0.37523439210473924 2.452214417847376E-5))	13
13	0	POLYGON((0.40650380453911866 2.452214417847376E-5,0.4377732169734981 2.452214417847376E-5,0.4377732169734981 0.03128095766324797,0.40650380453911866 0.03128095766324797,0.40650380453911866 2.452214417847376E-5))	21
14	0	POLYGON((0.4377732169734981 2.452214417847376E-5,0.4690426294078775 2.452214417847376E-5,0.4690426294078775 0.03128095766324797,0.4377732169734981 0.03128095766324797,0.4377732169734981 2.452214417847376E-5))	18
15	0	POLYGON((0.4690426294078775 2.452214417847376E-5,0.5003120418422569 2.452214417847376E-5,0.5003120418422569 0.03128095766324797,0.4690426294078775 0.03128095766324797,0.4690426294078775 2.452214417847376E-5))	18
16	0	POLYGON((0.5003120418422569 2.452214417847376E-5,0.5315814542766364 2.452214417847376E-5,0.5315814542766364 0.03128095766324797,0.5003120418422569 0.03128095766324797,0.5003120418422569 2.452214417847376E-5))	26
