Column	Row	Geometry	Frequency
0	0	POLYGON((1.1919030312401453E-4 3.616451380212826E-4,0.0627674752588748 3.616451380212826E-4,0.0627674752588748 0.06290102666659099,1.1919030312401453E-4 0.06290102666659099,1.1919030312401453E-4 3.616451380212826E-4))	531
1	0	POLYGON((0.0627674752588748 3.616451380212826E-4,0.12541576021462558 3.616451380212826E-4,0.12541576021462558 0.06290102666659099,0.0627674752588748 0.06290102666659099,0.0627674752588748 3.616451380212826E-4))	54
2	0	POLYGON((0.12541576021462558 3.616451380212826E-4,0.1880640451703764 3.616451380212826E-4,0.1880640451703764 0.06290102666659099,0.12541576021462558 0.06290102666659099,0.12541576021462558 3.616451380212826E-4))	1
3	0	POLYGON((0.1880640451703764 3.616451380212826E-4,0.25071233012612715 3.616451380212826E-4,0.25071233012612715 0.06290102666659099,0.1880640451703764 0.06290102666659099,0.1880640451703764 3.616451380212826E-4))	0
4	0	POLYGON((0.25071233012612715 3.616451380212826E-4,0.313360615081878 3.616451380212826E-4,0.313360615081878 0.06290102666659099,0.25071233012612715 0.06290102666659099,0.25071233012612715 3.616451380212826E-4))	0
5	0	POLYGON((0.313360615081878 3.616451380212826E-4,0.37600890003762877 3.616451380212826E-4,0.37600890003762877 0.06290102666659099,0.313360615081878 0.06290102666659099,0.313360615081878 3.616451380212826E-4))	0
6	0	POLYGON((0.37600890003762877 3.616451380212826E-4,0.4386571849933795 3.616451380212826E-4,0.4386571849933795 0.06290102666659099,0.37600890003762877 0.06290102666659099,0.37600890003762877 3.616451380212826E-4))	0
7	0	POLYGON((0.4386571849933795 3.616451380212826E-4,0.5013054699491303 3.616451380212826E-4,0.5013054699491303 0.06290102666659099,0.4386571849933795 0.06290102666659099,0.4386571849933795 3.616451380212826E-4))	0
8	0	POLYGON((0.5013054699491303 3.616451380212826E-4,0.5639537549048812 3.616451380212826E-4,0.5639537549048812 0.06290102666659099,0.5013054699491303 0.06290102666659099,0.5013054699491303 3.616451380212826E-4))	0
9	0	POLYGON((0.5639537549048812 3.616451380212826E-4,0.626602039860632 3.616451380212826E-4,0.626602039860632 0.06290102666659099,0.5639537549048812 0.06290102666659099,0.5639537549048812 3.616451380212826E-4))	0
10	0	POLYGON((0.626602039860632 3.616451380212826E-4,0.6892503248163827 3.616451380212826E-4,0.6892503248163827 0.06290102666659099,0.626602039860632 0.06290102666659099,0.626602039860632 3.616451380212826E-4))	0
