Column	Row	Geometry	Frequency
0	0	POLYGON((4.183570520222002E-5 4.183570520222002E-5,0.06254108063522451 4.183570520222002E-5,0.06254108063522451 0.06272787224258591,4.183570520222002E-5 0.06272787224258591,4.183570520222002E-5 4.183570520222002E-5))	474
1	0	POLYGON((0.06254108063522451 4.183570520222002E-5,0.1250403255652468 4.183570520222002E-5,0.1250403255652468 0.06272787224258591,0.06254108063522451 0.06272787224258591,0.06254108063522451 4.183570520222002E-5))	34
2	0	POLYGON((0.1250403255652468 4.183570520222002E-5,0.18753957049526912 4.183570520222002E-5,0.18753957049526912 0.06272787224258591,0.1250403255652468 0.06272787224258591,0.1250403255652468 4.183570520222002E-5))	0
3	0	POLYGON((0.18753957049526912 4.183570520222002E-5,0.2500388154252914 4.183570520222002E-5,0.2500388154252914 0.06272787224258591,0.18753957049526912 0.06272787224258591,0.18753957049526912 4.183570520222002E-5))	0
4	0	POLYGON((0.2500388154252914 4.183570520222002E-5,0.31253806035531373 4.183570520222002E-5,0.31253806035531373 0.06272787224258591,0.2500388154252914 0.06272787224258591,0.2500388154252914 4.183570520222002E-5))	0
5	0	POLYGON((0.31253806035531373 4.183570520222002E-5,0.375037305285336 4.183570520222002E-5,0.375037305285336 0.06272787224258591,0.31253806035531373 0.06272787224258591,0.31253806035531373 4.183570520222002E-5))	0
6	0	POLYGON((0.375037305285336 4.183570520222002E-5,0.4375365502153583 4.183570520222002E-5,0.4375365502153583 0.06272787224258591,0.375037305285336 0.06272787224258591,0.375037305285336 4.183570520222002E-5))	0
7	0	POLYGON((0.4375365502153583 4.183570520222002E-5,0.5000357951453807 4.183570520222002E-5,0.5000357951453807 0.06272787224258591,0.4375365502153583 0.06272787224258591,0.4375365502153583 4.183570520222002E-5))	0
8	0	POLYGON((0.5000357951453807 4.183570520222002E-5,0.5625350400754029 4.183570520222002E-5,0.5625350400754029 0.06272787224258591,0.5000357951453807 0.06272787224258591,0.5000357951453807 4.183570520222002E-5))	0
9	0	POLYGON((0.5625350400754029 4.183570520222002E-5,0.6250342850054252 4.183570520222002E-5,0.6250342850054252 0.06272787224258591,0.5625350400754029 0.06272787224258591,0.5625350400754029 4.183570520222002E-5))	0
10	0	POLYGON((0.6250342850054252 4.183570520222002E-5,0.6875335299354476 4.183570520222002E-5,0.6875335299354476 0.06272787224258591,0.6250342850054252 0.06272787224258591,0.6250342850054252 4.183570520222002E-5))	0
11	0	POLYGON((0.6875335299354476 4.183570520222002E-5,0.7500327748654698 4.183570520222002E-5,0.7500327748654698 0.06272787224258591,0.6875335299354476 0.06272787224258591,0.6875335299354476 4.183570520222002E-5))	0
12	0	POLYGON((0.7500327748654698 4.183570520222002E-5,0.812532019795492 4.183570520222002E-5,0.812532019795492 0.06272787224258591,0.7500327748654698 0.06272787224258591,0.7500327748654698 4.183570520222002E-5))	0
13	0	POLYGON((0.812532019795492 4.183570520222002E-5,0.8750312647255144 4.183570520222002E-5,0.8750312647255144 0.06272787224258591,0.812532019795492 0.06272787224258591,0.812532019795492 4.183570520222002E-5))	0
14	0	POLYGON((0.8750312647255144 4.183570520222002E-5,0.9375305096555367 4.183570520222002E-5,0.9375305096555367 0.06272787224258591,0.8750312647255144 0.06272787224258591,0.8750312647255144 4.183570520222002E-5))	0
15	0	POLYGON((0.9375305096555367 4.183570520222002E-5,1.000029754585559 4.183570520222002E-5,1.000029754585559 0.06272787224258591,0.9375305096555367 0.06272787224258591,0.9375305096555367 4.183570520222002E-5))	0
0	1	POLYGON((4.183570520222002E-5 0.06272787224258591,0.06254108063522451 0.06272787224258591,0.06254108063522451 0.1254139087799696,4.183570520222002E-5 0.1254139087799696,4.183570520222002E-5 0.06272787224258591))	61
1	1	POLYGON((0.06254108063522451 0.06272787224258591,0.1250403255652468 0.06272787224258591,0.1250403255652468 0.1254139087799696,0.06254108063522451 0.1254139087799696,0.06254108063522451 0.06272787224258591))	516
2	1	POLYGON((0.1250403255652468 0.06272787224258591,0.18753957049526912 0.06272787224258591,0.18753957049526912 0.1254139087799696,0.1250403255652468 0.1254139087799696,0.1250403255652468 0.06272787224258591))	36
3	1	POLYGON((0.18753957049526912 0.06272787224258591,0.2500388154252914 0.06272787224258591,0.2500388154252914 0.1254139087799696,0.18753957049526912 0.1254139087799696,0.18753957049526912 0.06272787224258591))	0
4	1	POLYGON((0.2500388154252914 0.06272787224258591,0.31253806035531373 0.06272787224258591,0.31253806035531373 0.1254139087799696,0.2500388154252914 0.1254139087799696,0.2500388154252914 0.06272787224258591))	0
5	1	POLYGON((0.31253806035531373 0.06272787224258591,0.375037305285336 0.06272787224258591,0.375037305285336 0.1254139087799696,0.31253806035531373 0.1254139087799696,0.31253806035531373 0.06272787224258591))	0
6	1	POLYGON((0.375037305285336 0.06272787224258591,0.4375365502153583 0.06272787224258591,0.4375365502153583 0.1254139087799696,0.375037305285336 0.1254139087799696,0.375037305285336 0.06272787224258591))	0
7	1	POLYGON((0.4375365502153583 0.06272787224258591,0.5000357951453807 0.06272787224258591,0.5000357951453807 0.1254139087799696,0.4375365502153583 0.1254139087799696,0.4375365502153583 0.06272787224258591))	0
8	1	POLYGON((0.5000357951453807 0.06272787224258591,0.5625350400754029 0.06272787224258591,0.5625350400754029 0.1254139087799696,0.5000357951453807 0.1254139087799696,0.5000357951453807 0.06272787224258591))	0
9	1	POLYGON((0.5625350400754029 0.06272787224258591,0.6250342850054252 0.06272787224258591,0.6250342850054252 0.1254139087799696,0.5625350400754029 0.1254139087799696,0.5625350400754029 0.06272787224258591))	0
10	1	POLYGON((0.6250342850054252 0.06272787224258591,0.6875335299354476 0.06272787224258591,0.6875335299354476 0.1254139087799696,0.6250342850054252 0.1254139087799696,0.6250342850054252 0.06272787224258591))	0
11	1	POLYGON((0.6875335299354476 0.06272787224258591,0.7500327748654698 0.06272787224258591,0.7500327748654698 0.1254139087799696,0.6875335299354476 0.1254139087799696,0.6875335299354476 0.06272787224258591))	0
12	1	POLYGON((0.7500327748654698 0.06272787224258591,0.812532019795492 0.06272787224258591,0.812532019795492 0.1254139087799696,0.7500327748654698 0.1254139087799696,0.7500327748654698 0.06272787224258591))	0
13	1	POLYGON((0.812532019795492 0.06272787224258591,0.8750312647255144 0.06272787224258591,0.8750312647255144 0.1254139087799696,0.812532019795492 0.1254139087799696,0.812532019795492 0.06272787224258591))	0
14	1	POLYGON((0.8750312647255144 0.06272787224258591,0.9375305096555367 0.06272787224258591,0.9375305096555367 0.1254139087799696,0.8750312647255144 0.1254139087799696,0.8750312647255144 0.06272787224258591))	0
15	1	POLYGON((0.9375305096555367 0.06272787224258591,1.000029754585559 0.06272787224258591,1.000029754585559 0.1254139087799696,0.9375305096555367 0.1254139087799696,0.9375305096555367 0.06272787224258591))	0
0	2	POLYGON((4.183570520222002E-5 0.1254139087799696,0.06254108063522451 0.1254139087799696,0.06254108063522451 0.18809994531735327,4.183570520222002E-5 0.18809994531735327,4.183570520222002E-5 0.1254139087799696))	2
1	2	POLYGON((0.06254108063522451 0.1254139087799696,0.1250403255652468 0.1254139087799696,0.1250403255652468 0.18809994531735327,0.06254108063522451 0.18809994531735327,0.06254108063522451 0.1254139087799696))	47
2	2	POLYGON((0.1250403255652468 0.1254139087799696,0.18753957049526912 0.1254139087799696,0.18753957049526912 0.18809994531735327,0.1250403255652468 0.18809994531735327,0.1250403255652468 0.1254139087799696))	468
