Column	Row	Geometry	Frequency
0	0	POLYGON((1.4047699545272074E-5 7.687439988834921E-5,0.06252486056897613 7.687439988834921E-5,0.06252486056897613 0.06261269342197251,1.4047699545272074E-5 0.06261269342197251,1.4047699545272074E-5 7.687439988834921E-5))	97
1	0	POLYGON((0.06252486056897613 7.687439988834921E-5,0.125035673438407 7.687439988834921E-5,0.125035673438407 0.06261269342197251,0.06252486056897613 0.06261269342197251,0.06252486056897613 7.687439988834921E-5))	69
2	0	POLYGON((0.125035673438407 7.687439988834921E-5,0.18754648630783788 7.687439988834921E-5,0.18754648630783788 0.06261269342197251,0.125035673438407 0.06261269342197251,0.125035673438407 7.687439988834921E-5))	70
3	0	POLYGON((0.18754648630783788 7.687439988834921E-5,0.2500572991772687 7.687439988834921E-5,0.2500572991772687 0.06261269342197251,0.18754648630783788 0.06261269342197251,0.18754648630783788 7.687439988834921E-5))	88
4	0	POLYGON((0.2500572991772687 7.687439988834921E-5,0.3125681120466996 7.687439988834921E-5,0.3125681120466996 0.06261269342197251,0.2500572991772687 0.06261269342197251,0.2500572991772687 7.687439988834921E-5))	79
5	0	POLYGON((0.3125681120466996 7.687439988834921E-5,0.3750789249161305 7.687439988834921E-5,0.3750789249161305 0.06261269342197251,0.3125681120466996 0.06261269342197251,0.3125681120466996 7.687439988834921E-5))	66
6	0	POLYGON((0.3750789249161305 7.687439988834921E-5,0.4375897377855613 7.687439988834921E-5,0.4375897377855613 0.06261269342197251,0.3750789249161305 0.06261269342197251,0.3750789249161305 7.687439988834921E-5))	81
7	0	POLYGON((0.4375897377855613 7.687439988834921E-5,0.5001005506549923 7.687439988834921E-5,0.5001005506549923 0.06261269342197251,0.4375897377855613 0.06261269342197251,0.4375897377855613 7.687439988834921E-5))	71
8	0	POLYGON((0.5001005506549923 7.687439988834921E-5,0.5626113635244231 7.687439988834921E-5,0.5626113635244231 0.06261269342197251,0.5001005506549923 0.06261269342197251,0.5001005506549923 7.687439988834921E-5))	103
9	0	POLYGON((0.5626113635244231 7.687439988834921E-5,0.6251221763938539 7.687439988834921E-5,0.6251221763938539 0.06261269342197251,0.5626113635244231 0.06261269342197251,0.5626113635244231 7.687439988834921E-5))	71
10	0	POLYGON((0.6251221763938539 7.687439988834921E-5,0.6876329892632848 7.687439988834921E-5,0.6876329892632848 0.06261269342197251,0.6251221763938539 0.06261269342197251,0.6251221763938539 7.687439988834921E-5))	74
11	0	POLYGON((0.6876329892632848 7.687439988834921E-5,0.7501438021327157 7.687439988834921E-5,0.7501438021327157 0.06261269342197251,0.6876329892632848 0.06261269342197251,0.6876329892632848 7.687439988834921E-5))	86
12	0	POLYGON((0.7501438021327157 7.687439988834921E-5,0.8126546150021465 7.687439988834921E-5,0.8126546150021465 0.06261269342197251,0.7501438021327157 0.06261269342197251,0.7501438021327157 7.687439988834921E-5))	107
13	0	POLYGON((0.8126546150021465 7.687439988834921E-5,0.8751654278715774 7.687439988834921E-5,0.8751654278715774 0.06261269342197251,0.8126546150021465 0.06261269342197251,0.8126546150021465 7.687439988834921E-5))	96
14	0	POLYGON((0.8751654278715774 7.687439988834921E-5,0.9376762407410083 7.687439988834921E-5,0.9376762407410083 0.06261269342197251,0.8751654278715774 0.06261269342197251,0.8751654278715774 7.687439988834921E-5))	61
15	0	POLYGON((0.9376762407410083 7.687439988834921E-5,1.0001870536104391 7.687439988834921E-5,1.0001870536104391 0.06261269342197251,0.9376762407410083 0.06261269342197251,0.9376762407410083 7.687439988834921E-5))	80
0	1	POLYGON((1.4047699545272074E-5 0.06261269342197251,0.06252486056897613 0.06261269342197251,0.06252486056897613 0.12514851244405667,1.4047699545272074E-5 0.12514851244405667,1.4047699545272074E-5 0.06261269342197251))	94
1	1	POLYGON((0.06252486056897613 0.06261269342197251,0.125035673438407 0.06261269342197251,0.125035673438407 0.12514851244405667,0.06252486056897613 0.12514851244405667,0.06252486056897613 0.06261269342197251))	97
2	1	POLYGON((0.125035673438407 0.06261269342197251,0.18754648630783788 0.06261269342197251,0.18754648630783788 0.12514851244405667,0.125035673438407 0.12514851244405667,0.125035673438407 0.06261269342197251))	85
3	1	POLYGON((0.18754648630783788 0.06261269342197251,0.2500572991772687 0.06261269342197251,0.2500572991772687 0.12514851244405667,0.18754648630783788 0.12514851244405667,0.18754648630783788 0.06261269342197251))	85
