Column	Row	Geometry	Frequency
0	0	POLYGON((1.1512816629721812E-4 -0.26596274233010164,0.03141865925738863 -0.26596274233010164,0.03141865925738863 -0.2232758034117504,1.1512816629721812E-4 -0.2232758034117504,1.1512816629721812E-4 -0.26596274233010164))	0
1	0	POLYGON((0.03141865925738863 -0.26596274233010164,0.06272219034848005 -0.26596274233010164,0.06272219034848005 -0.2232758034117504,0.03141865925738863 -0.2232758034117504,0.03141865925738863 -0.26596274233010164))	0
2	0	POLYGON((0.06272219034848005 -0.26596274233010164,0.09402572143957147 -0.26596274233010164,0.09402572143957147 -0.2232758034117504,0.06272219034848005 -0.2232758034117504,0.06272219034848005 -0.26596274233010164))	0
3	0	POLYGON((0.09402572143957147 -0.26596274233010164,0.12532925253066288 -0.26596274233010164,0.12532925253066288 -0.2232758034117504,0.09402572143957147 -0.2232758034117504,0.09402572143957147 -0.26596274233010164))	0
4	0	POLYGON((0.12532925253066288 -0.26596274233010164,0.15663278362175428 -0.26596274233010164,0.15663278362175428 -0.2232758034117504,0.12532925253066288 -0.2232758034117504,0.12532925253066288 -0.26596274233010164))	0
5	0	POLYGON((0.15663278362175428 -0.26596274233010164,0.18793631471284572 -0.26596274233010164,0.18793631471284572 -0.2232758034117504,0.15663278362175428 -0.2232758034117504,0.15663278362175428 -0.26596274233010164))	0
6	0	POLYGON((0.18793631471284572 -0.26596274233010164,0.21923984580393713 -0.26596274233010164,0.21923984580393713 -0.2232758034117504,0.18793631471284572 -0.2232758034117504,0.18793631471284572 -0.26596274233010164))	0
7	0	POLYGON((0.21923984580393713 -0.26596274233010164,0.25054337689502854 -0.26596274233010164,0.25054337689502854 -0.2232758034117504,0.21923984580393713 -0.2232758034117504,0.21923984580393713 -0.26596274233010164))	0
8	0	POLYGON((0.25054337689502854 -0.26596274233010164,0.28184690798612 -0.26596274233010164,0.28184690798612 -0.2232758034117504,0.25054337689502854 -0.2232758034117504,0.25054337689502854 -0.26596274233010164))	0
9	0	POLYGON((0.28184690798612 -0.26596274233010164,0.31315043907721135 -0.26596274233010164,0.31315043907721135 -0.2232758034117504,0.28184690798612 -0.2232758034117504,0.28184690798612 -0.26596274233010164))	0
10	0	POLYGON((0.31315043907721135 -0.26596274233010164,0.3444539701683028 -0.26596274233010164,0.3444539701683028 -0.2232758034117504,0.31315043907721135 -0.2232758034117504,0.31315043907721135 -0.26596274233010164))	0
11	0	POLYGON((0.3444539701683028 -0.26596274233010164,0.3757575012593942 -0.26596274233010164,0.3757575012593942 -0.2232758034117504,0.3444539701683028 -0.2232758034117504,0.3444539701683028 -0.26596274233010164))	0
12	0	POLYGON((0.3757575012593942 -0.26596274233010164,0.40706103235048563 -0.26596274233010164,0.40706103235048563 -0.2232758034117504,0.3757575012593942 -0.2232758034117504,0.3757575012593942 -0.26596274233010164))	0
13	0	POLYGON((0.40706103235048563 -0.26596274233010164,0.43836456344157704 -0.26596274233010164,0.43836456344157704 -0.2232758034117504,0.40706103235048563 -0.2232758034117504,0.40706103235048563 -0.26596274233010164))	0
14	0	POLYGON((0.43836456344157704 -0.26596274233010164,0.46966809453266845 -0.26596274233010164,0.46966809453266845 -0.2232758034117504,0.43836456344157704 -0.2232758034117504,0.43836456344157704 -0.26596274233010164))	0
15	0	POLYGON((0.46966809453266845 -0.26596274233010164,0.5009716256237599 -0.26596274233010164,0.5009716256237599 -0.2232758034117504,0.46966809453266845 -0.2232758034117504,0.46966809453266845 -0.26596274233010164))	0
16	0	POLYGON((0.5009716256237599 -0.26596274233010164,0.5322751567148513 -0.26596274233010164,0.5322751567148513 -0.2232758034117504,0.5009716256237599 -0.2232758034117504,0.5009716256237599 -0.26596274233010164))	0
17	0	POLYGON((0.5322751567148513 -0.26596274233010164,0.5635786878059428 -0.26596274233010164,0.5635786878059428 -0.2232758034117504,0.5322751567148513 -0.2232758034117504,0.5322751567148513 -0.26596274233010164))	0
18	0	POLYGON((0.5635786878059428 -0.26596274233010164,0.5948822188970341 -0.26596274233010164,0.5948822188970341 -0.2232758034117504,0.5635786878059428 -0.2232758034117504,0.5635786878059428 -0.26596274233010164))	0
19	0	POLYGON((0.5948822188970341 -0.26596274233010164,0.6261857499881255 -0.26596274233010164,0.6261857499881255 -0.2232758034117504,0.5948822188970341 -0.2232758034117504,0.5948822188970341 -0.26596274233010164))	0
20	0	POLYGON((0.6261857499881255 -0.26596274233010164,0.657489281079217 -0.26596274233010164,0.657489281079217 -0.2232758034117504,0.6261857499881255 -0.2232758034117504,0.6261857499881255 -0.26596274233010164))	0
21	0	POLYGON((0.657489281079217 -0.26596274233010164,0.6887928121703084 -0.26596274233010164,0.6887928121703084 -0.2232758034117504,0.657489281079217 -0.2232758034117504,0.657489281079217 -0.26596274233010164))	0
22	0	POLYGON((0.6887928121703084 -0.26596274233010164,0.7200963432613997 -0.26596274233010164,0.7200963432613997 -0.2232758034117504,0.6887928121703084 -0.2232758034117504,0.6887928121703084 -0.26596274233010164))	0
23	0	POLYGON((0.7200963432613997 -0.26596274233010164,0.7513998743524912 -0.26596274233010164,0.7513998743524912 -0.2232758034117504,0.7200963432613997 -0.2232758034117504,0.7200963432613997 -0.26596274233010164))	0
24	0	POLYGON((0.7513998743524912 -0.26596274233010164,0.7827034054435826 -0.26596274233010164,0.7827034054435826 -0.2232758034117504,0.7513998743524912 -0.2232758034117504,0.7513998743524912 -0.26596274233010164))	0
25	0	POLYGON((0.7827034054435826 -0.26596274233010164,0.814006936534674 -0.26596274233010164,0.814006936534674 -0.2232758034117504,0.7827034054435826 -0.2232758034117504,0.7827034054435826 -0.26596274233010164))	0
26	0	POLYGON((0.814006936534674 -0.26596274233010164,0.8453104676257653 -0.26596274233010164,0.8453104676257653 -0.2232758034117504,0.814006936534674 -0.2232758034117504,0.814006936534674 -0.26596274233010164))	41
27	0	POLYGON((0.8453104676257653 -0.26596274233010164,0.8766139987168569 -0.26596274233010164,0.8766139987168569 -0.2232758034117504,0.8453104676257653 -0.2232758034117504,0.8453104676257653 -0.26596274233010164))	660
28	0	POLYGON((0.8766139987168569 -0.26596274233010164,0.9079175298079483 -0.26596274233010164,0.9079175298079483 -0.2232758034117504,0.8766139987168569 -0.2232758034117504,0.8766139987168569 -0.26596274233010164))	14
29	0	POLYGON((0.9079175298079483 -0.26596274233010164,0.9392210608990397 -0.26596274233010164,0.9392210608990397 -0.2232758034117504,0.9079175298079483 -0.2232758034117504,0.9079175298079483 -0.26596274233010164))	0
30	0	POLYGON((0.9392210608990397 -0.26596274233010164,0.9705245919901311 -0.26596274233010164,0.9705245919901311 -0.2232758034117504,0.9392210608990397 -0.2232758034117504,0.9392210608990397 -0.26596274233010164))	0
31	0	POLYGON((0.9705245919901311 -0.26596274233010164,1.0018281230812225 -0.26596274233010164,1.0018281230812225 -0.2232758034117504,0.9705245919901311 -0.2232758034117504,0.9705245919901311 -0.26596274233010164))	0
