Column	Row	Geometry	Frequency
0	0	POLYGON((0.46415853514546535 -0.26596274233010164,0.477708319518857 -0.26596274233010164,0.477708319518857 -0.2232758034117504,0.46415853514546535 -0.2232758034117504,0.46415853514546535 -0.26596274233010164))	0
1	0	POLYGON((0.477708319518857 -0.26596274233010164,0.4912581038922487 -0.26596274233010164,0.4912581038922487 -0.2232758034117504,0.477708319518857 -0.2232758034117504,0.477708319518857 -0.26596274233010164))	0
2	0	POLYGON((0.4912581038922487 -0.26596274233010164,0.5048078882656404 -0.26596274233010164,0.5048078882656404 -0.2232758034117504,0.4912581038922487 -0.2232758034117504,0.4912581038922487 -0.26596274233010164))	0
3	0	POLYGON((0.5048078882656404 -0.26596274233010164,0.5183576726390321 -0.26596274233010164,0.5183576726390321 -0.2232758034117504,0.5048078882656404 -0.2232758034117504,0.5048078882656404 -0.26596274233010164))	0
4	0	POLYGON((0.5183576726390321 -0.26596274233010164,0.5319074570124237 -0.26596274233010164,0.5319074570124237 -0.2232758034117504,0.5183576726390321 -0.2232758034117504,0.5183576726390321 -0.26596274233010164))	0
5	0	POLYGON((0.5319074570124237 -0.26596274233010164,0.5454572413858154 -0.26596274233010164,0.5454572413858154 -0.2232758034117504,0.5319074570124237 -0.2232758034117504,0.5319074570124237 -0.26596274233010164))	0
6	0	POLYGON((0.5454572413858154 -0.26596274233010164,0.559007025759207 -0.26596274233010164,0.559007025759207 -0.2232758034117504,0.5454572413858154 -0.2232758034117504,0.5454572413858154 -0.26596274233010164))	0
7	0	POLYGON((0.559007025759207 -0.26596274233010164,0.5725568101325987 -0.26596274233010164,0.5725568101325987 -0.2232758034117504,0.559007025759207 -0.2232758034117504,0.559007025759207 -0.26596274233010164))	0
8	0	POLYGON((0.5725568101325987 -0.26596274233010164,0.5861065945059905 -0.26596274233010164,0.5861065945059905 -0.2232758034117504,0.5725568101325987 -0.2232758034117504,0.5725568101325987 -0.26596274233010164))	0
9	0	POLYGON((0.5861065945059905 -0.26596274233010164,0.5996563788793821 -0.26596274233010164,0.5996563788793821 -0.2232758034117504,0.5861065945059905 -0.2232758034117504,0.5861065945059905 -0.26596274233010164))	0
10	0	POLYGON((0.5996563788793821 -0.26596274233010164,0.6132061632527738 -0.26596274233010164,0.6132061632527738 -0.2232758034117504,0.5996563788793821 -0.2232758034117504,0.5996563788793821 -0.26596274233010164))	0
11	0	POLYGON((0.6132061632527738 -0.26596274233010164,0.6267559476261654 -0.26596274233010164,0.6267559476261654 -0.2232758034117504,0.6132061632527738 -0.2232758034117504,0.6132061632527738 -0.26596274233010164))	0
12	0	POLYGON((0.6267559476261654 -0.26596274233010164,0.6403057319995571 -0.26596274233010164,0.6403057319995571 -0.2232758034117504,0.6267559476261654 -0.2232758034117504,0.6267559476261654 -0.26596274233010164))	0
13	0	POLYGON((0.6403057319995571 -0.26596274233010164,0.6538555163729487 -0.26596274233010164,0.6538555163729487 -0.2232758034117504,0.6403057319995571 -0.2232758034117504,0.6403057319995571 -0.26596274233010164))	0
14	0	POLYGON((0.6538555163729487 -0.26596274233010164,0.6674053007463405 -0.26596274233010164,0.6674053007463405 -0.2232758034117504,0.6538555163729487 -0.2232758034117504,0.6538555163729487 -0.26596274233010164))	0
15	0	POLYGON((0.6674053007463405 -0.26596274233010164,0.6809550851197321 -0.26596274233010164,0.6809550851197321 -0.2232758034117504,0.6674053007463405 -0.2232758034117504,0.6674053007463405 -0.26596274233010164))	0
16	0	POLYGON((0.6809550851197321 -0.26596274233010164,0.6945048694931237 -0.26596274233010164,0.6945048694931237 -0.2232758034117504,0.6809550851197321 -0.2232758034117504,0.6809550851197321 -0.26596274233010164))	0
17	0	POLYGON((0.6945048694931237 -0.26596274233010164,0.7080546538665154 -0.26596274233010164,0.7080546538665154 -0.2232758034117504,0.6945048694931237 -0.2232758034117504,0.6945048694931237 -0.26596274233010164))	0
18	0	POLYGON((0.7080546538665154 -0.26596274233010164,0.7216044382399072 -0.26596274233010164,0.7216044382399072 -0.2232758034117504,0.7080546538665154 -0.2232758034117504,0.7080546538665154 -0.26596274233010164))	0
19	0	POLYGON((0.7216044382399072 -0.26596274233010164,0.7351542226132989 -0.26596274233010164,0.7351542226132989 -0.2232758034117504,0.7216044382399072 -0.2232758034117504,0.7216044382399072 -0.26596274233010164))	0
20	0	POLYGON((0.7351542226132989 -0.26596274233010164,0.7487040069866905 -0.26596274233010164,0.7487040069866905 -0.2232758034117504,0.7351542226132989 -0.2232758034117504,0.7351542226132989 -0.26596274233010164))	0
21	0	POLYGON((0.7487040069866905 -0.26596274233010164,0.7622537913600822 -0.26596274233010164,0.7622537913600822 -0.2232758034117504,0.7487040069866905 -0.2232758034117504,0.7487040069866905 -0.26596274233010164))	0
22	0	POLYGON((0.7622537913600822 -0.26596274233010164,0.7758035757334738 -0.26596274233010164,0.7758035757334738 -0.2232758034117504,0.7622537913600822 -0.2232758034117504,0.7622537913600822 -0.26596274233010164))	0
23	0	POLYGON((0.7758035757334738 -0.26596274233010164,0.7893533601068654 -0.26596274233010164,0.7893533601068654 -0.2232758034117504,0.7758035757334738 -0.2232758034117504,0.7758035757334738 -0.26596274233010164))	0
24	0	POLYGON((0.7893533601068654 -0.26596274233010164,0.8029031444802572 -0.26596274233010164,0.8029031444802572 -0.2232758034117504,0.7893533601068654 -0.2232758034117504,0.7893533601068654 -0.26596274233010164))	0
25	0	POLYGON((0.8029031444802572 -0.26596274233010164,0.8164529288536488 -0.26596274233010164,0.8164529288536488 -0.2232758034117504,0.8029031444802572 -0.2232758034117504,0.8029031444802572 -0.26596274233010164))	0
26	0	POLYGON((0.8164529288536488 -0.26596274233010164,0.8300027132270406 -0.26596274233010164,0.8300027132270406 -0.2232758034117504,0.8164529288536488 -0.2232758034117504,0.8164529288536488 -0.26596274233010164))	10
27	0	POLYGON((0.8300027132270406 -0.26596274233010164,0.8435524976004322 -0.26596274233010164,0.8435524976004322 -0.2232758034117504,0.8300027132270406 -0.2232758034117504,0.8300027132270406 -0.26596274233010164))	27
28	0	POLYGON((0.8435524976004322 -0.26596274233010164,0.8571022819738239 -0.26596274233010164,0.8571022819738239 -0.2232758034117504,0.8435524976004322 -0.2232758034117504,0.8435524976004322 -0.26596274233010164))	151
29	0	POLYGON((0.8571022819738239 -0.26596274233010164,0.8706520663472156 -0.26596274233010164,0.8706520663472156 -0.2232758034117504,0.8571022819738239 -0.2232758034117504,0.8571022819738239 -0.26596274233010164))	491
30	0	POLYGON((0.8706520663472156 -0.26596274233010164,0.8842018507206072 -0.26596274233010164,0.8842018507206072 -0.2232758034117504,0.8706520663472156 -0.2232758034117504,0.8706520663472156 -0.26596274233010164))	35
31	0	POLYGON((0.8842018507206072 -0.26596274233010164,0.8977516350939989 -0.26596274233010164,0.8977516350939989 -0.2232758034117504,0.8842018507206072 -0.2232758034117504,0.8842018507206072 -0.26596274233010164))	1
0	1	POLYGON((0.46415853514546535 -0.2232758034117504,0.477708319518857 -0.2232758034117504,0.477708319518857 -0.1805888644933992,0.46415853514546535 -0.1805888644933992,0.46415853514546535 -0.2232758034117504))	0
1	1	POLYGON((0.477708319518857 -0.2232758034117504,0.4912581038922487 -0.2232758034117504,0.4912581038922487 -0.1805888644933992,0.477708319518857 -0.1805888644933992,0.477708319518857 -0.2232758034117504))	0
2	1	POLYGON((0.4912581038922487 -0.2232758034117504,0.5048078882656404 -0.2232758034117504,0.5048078882656404 -0.1805888644933992,0.4912581038922487 -0.1805888644933992,0.4912581038922487 -0.2232758034117504))	0
3	1	POLYGON((0.5048078882656404 -0.2232758034117504,0.5183576726390321 -0.2232758034117504,0.5183576726390321 -0.1805888644933992,0.5048078882656404 -0.1805888644933992,0.5048078882656404 -0.2232758034117504))	0
4	1	POLYGON((0.5183576726390321 -0.2232758034117504,0.5319074570124237 -0.2232758034117504,0.5319074570124237 -0.1805888644933992,0.5183576726390321 -0.1805888644933992,0.5183576726390321 -0.2232758034117504))	0
5	1	POLYGON((0.5319074570124237 -0.2232758034117504,0.5454572413858154 -0.2232758034117504,0.5454572413858154 -0.1805888644933992,0.5319074570124237 -0.1805888644933992,0.5319074570124237 -0.2232758034117504))	0
6	1	POLYGON((0.5454572413858154 -0.2232758034117504,0.559007025759207 -0.2232758034117504,0.559007025759207 -0.1805888644933992,0.5454572413858154 -0.1805888644933992,0.5454572413858154 -0.2232758034117504))	0
7	1	POLYGON((0.559007025759207 -0.2232758034117504,0.5725568101325987 -0.2232758034117504,0.5725568101325987 -0.1805888644933992,0.559007025759207 -0.1805888644933992,0.559007025759207 -0.2232758034117504))	0
8	1	POLYGON((0.5725568101325987 -0.2232758034117504,0.5861065945059905 -0.2232758034117504,0.5861065945059905 -0.1805888644933992,0.5725568101325987 -0.1805888644933992,0.5725568101325987 -0.2232758034117504))	0
9	1	POLYGON((0.5861065945059905 -0.2232758034117504,0.5996563788793821 -0.2232758034117504,0.5996563788793821 -0.1805888644933992,0.5861065945059905 -0.1805888644933992,0.5861065945059905 -0.2232758034117504))	0
10	1	POLYGON((0.5996563788793821 -0.2232758034117504,0.6132061632527738 -0.2232758034117504,0.6132061632527738 -0.1805888644933992,0.5996563788793821 -0.1805888644933992,0.5996563788793821 -0.2232758034117504))	0
11	1	POLYGON((0.6132061632527738 -0.2232758034117504,0.6267559476261654 -0.2232758034117504,0.6267559476261654 -0.1805888644933992,0.6132061632527738 -0.1805888644933992,0.6132061632527738 -0.2232758034117504))	0
12	1	POLYGON((0.6267559476261654 -0.2232758034117504,0.6403057319995571 -0.2232758034117504,0.6403057319995571 -0.1805888644933992,0.6267559476261654 -0.1805888644933992,0.6267559476261654 -0.2232758034117504))	0
