Column	Row	Geometry	Frequency
0	0	POLYGON((0.4740268952402106 -0.18297983033059848,0.4874476861334319 -0.18297983033059848,0.4874476861334319 -0.14018564926317933,0.4740268952402106 -0.14018564926317933,0.4740268952402106 -0.18297983033059848))	6
1	0	POLYGON((0.4874476861334319 -0.18297983033059848,0.5008684770266534 -0.18297983033059848,0.5008684770266534 -0.14018564926317933,0.4874476861334319 -0.14018564926317933,0.4874476861334319 -0.18297983033059848))	51
2	0	POLYGON((0.5008684770266534 -0.18297983033059848,0.5142892679198747 -0.18297983033059848,0.5142892679198747 -0.14018564926317933,0.5008684770266534 -0.14018564926317933,0.5008684770266534 -0.18297983033059848))	320
3	0	POLYGON((0.5142892679198747 -0.18297983033059848,0.5277100588130961 -0.18297983033059848,0.5277100588130961 -0.14018564926317933,0.5142892679198747 -0.14018564926317933,0.5142892679198747 -0.18297983033059848))	30
4	0	POLYGON((0.5277100588130961 -0.18297983033059848,0.5411308497063174 -0.18297983033059848,0.5411308497063174 -0.14018564926317933,0.5277100588130961 -0.14018564926317933,0.5277100588130961 -0.18297983033059848))	15
5	0	POLYGON((0.5411308497063174 -0.18297983033059848,0.5545516405995388 -0.18297983033059848,0.5545516405995388 -0.14018564926317933,0.5411308497063174 -0.14018564926317933,0.5411308497063174 -0.18297983033059848))	3
6	0	POLYGON((0.5545516405995388 -0.18297983033059848,0.5679724314927601 -0.18297983033059848,0.5679724314927601 -0.14018564926317933,0.5545516405995388 -0.14018564926317933,0.5545516405995388 -0.18297983033059848))	1
7	0	POLYGON((0.5679724314927601 -0.18297983033059848,0.5813932223859815 -0.18297983033059848,0.5813932223859815 -0.14018564926317933,0.5679724314927601 -0.14018564926317933,0.5679724314927601 -0.18297983033059848))	0
8	0	POLYGON((0.5813932223859815 -0.18297983033059848,0.5948140132792028 -0.18297983033059848,0.5948140132792028 -0.14018564926317933,0.5813932223859815 -0.14018564926317933,0.5813932223859815 -0.18297983033059848))	0
9	0	POLYGON((0.5948140132792028 -0.18297983033059848,0.6082348041724241 -0.18297983033059848,0.6082348041724241 -0.14018564926317933,0.5948140132792028 -0.14018564926317933,0.5948140132792028 -0.18297983033059848))	0
10	0	POLYGON((0.6082348041724241 -0.18297983033059848,0.6216555950656455 -0.18297983033059848,0.6216555950656455 -0.14018564926317933,0.6082348041724241 -0.14018564926317933,0.6082348041724241 -0.18297983033059848))	0
11	0	POLYGON((0.6216555950656455 -0.18297983033059848,0.635076385958867 -0.18297983033059848,0.635076385958867 -0.14018564926317933,0.6216555950656455 -0.14018564926317933,0.6216555950656455 -0.18297983033059848))	0
12	0	POLYGON((0.635076385958867 -0.18297983033059848,0.6484971768520883 -0.18297983033059848,0.6484971768520883 -0.14018564926317933,0.635076385958867 -0.14018564926317933,0.635076385958867 -0.18297983033059848))	0
13	0	POLYGON((0.6484971768520883 -0.18297983033059848,0.6619179677453096 -0.18297983033059848,0.6619179677453096 -0.14018564926317933,0.6484971768520883 -0.14018564926317933,0.6484971768520883 -0.18297983033059848))	0
14	0	POLYGON((0.6619179677453096 -0.18297983033059848,0.6753387586385311 -0.18297983033059848,0.6753387586385311 -0.14018564926317933,0.6619179677453096 -0.14018564926317933,0.6619179677453096 -0.18297983033059848))	0
15	0	POLYGON((0.6753387586385311 -0.18297983033059848,0.6887595495317524 -0.18297983033059848,0.6887595495317524 -0.14018564926317933,0.6753387586385311 -0.14018564926317933,0.6753387586385311 -0.18297983033059848))	0
16	0	POLYGON((0.6887595495317524 -0.18297983033059848,0.7021803404249738 -0.18297983033059848,0.7021803404249738 -0.14018564926317933,0.6887595495317524 -0.14018564926317933,0.6887595495317524 -0.18297983033059848))	0
17	0	POLYGON((0.7021803404249738 -0.18297983033059848,0.7156011313181951 -0.18297983033059848,0.7156011313181951 -0.14018564926317933,0.7021803404249738 -0.14018564926317933,0.7021803404249738 -0.18297983033059848))	0
18	0	POLYGON((0.7156011313181951 -0.18297983033059848,0.7290219222114165 -0.18297983033059848,0.7290219222114165 -0.14018564926317933,0.7156011313181951 -0.14018564926317933,0.7156011313181951 -0.18297983033059848))	0
19	0	POLYGON((0.7290219222114165 -0.18297983033059848,0.7424427131046378 -0.18297983033059848,0.7424427131046378 -0.14018564926317933,0.7290219222114165 -0.14018564926317933,0.7290219222114165 -0.18297983033059848))	0
20	0	POLYGON((0.7424427131046378 -0.18297983033059848,0.7558635039978592 -0.18297983033059848,0.7558635039978592 -0.14018564926317933,0.7424427131046378 -0.14018564926317933,0.7424427131046378 -0.18297983033059848))	0
21	0	POLYGON((0.7558635039978592 -0.18297983033059848,0.7692842948910805 -0.18297983033059848,0.7692842948910805 -0.14018564926317933,0.7558635039978592 -0.14018564926317933,0.7558635039978592 -0.18297983033059848))	0
22	0	POLYGON((0.7692842948910805 -0.18297983033059848,0.7827050857843019 -0.18297983033059848,0.7827050857843019 -0.14018564926317933,0.7692842948910805 -0.14018564926317933,0.7692842948910805 -0.18297983033059848))	0
23	0	POLYGON((0.7827050857843019 -0.18297983033059848,0.7961258766775233 -0.18297983033059848,0.7961258766775233 -0.14018564926317933,0.7827050857843019 -0.14018564926317933,0.7827050857843019 -0.18297983033059848))	0
24	0	POLYGON((0.7961258766775233 -0.18297983033059848,0.8095466675707447 -0.18297983033059848,0.8095466675707447 -0.14018564926317933,0.7961258766775233 -0.14018564926317933,0.7961258766775233 -0.18297983033059848))	0
25	0	POLYGON((0.8095466675707447 -0.18297983033059848,0.822967458463966 -0.18297983033059848,0.822967458463966 -0.14018564926317933,0.8095466675707447 -0.14018564926317933,0.8095466675707447 -0.18297983033059848))	0
26	0	POLYGON((0.822967458463966 -0.18297983033059848,0.8363882493571874 -0.18297983033059848,0.8363882493571874 -0.14018564926317933,0.822967458463966 -0.14018564926317933,0.822967458463966 -0.18297983033059848))	0
27	0	POLYGON((0.8363882493571874 -0.18297983033059848,0.8498090402504087 -0.18297983033059848,0.8498090402504087 -0.14018564926317933,0.8363882493571874 -0.14018564926317933,0.8363882493571874 -0.18297983033059848))	0
28	0	POLYGON((0.8498090402504087 -0.18297983033059848,0.8632298311436302 -0.18297983033059848,0.8632298311436302 -0.14018564926317933,0.8498090402504087 -0.14018564926317933,0.8498090402504087 -0.18297983033059848))	0
29	0	POLYGON((0.8632298311436302 -0.18297983033059848,0.8766506220368515 -0.18297983033059848,0.8766506220368515 -0.14018564926317933,0.8632298311436302 -0.14018564926317933,0.8632298311436302 -0.18297983033059848))	0
30	0	POLYGON((0.8766506220368515 -0.18297983033059848,0.8900714129300729 -0.18297983033059848,0.8900714129300729 -0.14018564926317933,0.8766506220368515 -0.14018564926317933,0.8766506220368515 -0.18297983033059848))	0
31	0	POLYGON((0.8900714129300729 -0.18297983033059848,0.9034922038232942 -0.18297983033059848,0.9034922038232942 -0.14018564926317933,0.8900714129300729 -0.14018564926317933,0.8900714129300729 -0.18297983033059848))	0
0	1	POLYGON((0.4740268952402106 -0.14018564926317933,0.4874476861334319 -0.14018564926317933,0.4874476861334319 -0.09739146819576022,0.4740268952402106 -0.09739146819576022,0.4740268952402106 -0.14018564926317933))	12
1	1	POLYGON((0.4874476861334319 -0.14018564926317933,0.5008684770266534 -0.14018564926317933,0.5008684770266534 -0.09739146819576022,0.4874476861334319 -0.09739146819576022,0.4874476861334319 -0.14018564926317933))	29
2	1	POLYGON((0.5008684770266534 -0.14018564926317933,0.5142892679198747 -0.14018564926317933,0.5142892679198747 -0.09739146819576022,0.5008684770266534 -0.09739146819576022,0.5008684770266534 -0.14018564926317933))	126
3	1	POLYGON((0.5142892679198747 -0.14018564926317933,0.5277100588130961 -0.14018564926317933,0.5277100588130961 -0.09739146819576022,0.5142892679198747 -0.09739146819576022,0.5142892679198747 -0.14018564926317933))	274
4	1	POLYGON((0.5277100588130961 -0.14018564926317933,0.5411308497063174 -0.14018564926317933,0.5411308497063174 -0.09739146819576022,0.5277100588130961 -0.09739146819576022,0.5277100588130961 -0.14018564926317933))	40
5	1	POLYGON((0.5411308497063174 -0.14018564926317933,0.5545516405995388 -0.14018564926317933,0.5545516405995388 -0.09739146819576022,0.5411308497063174 -0.09739146819576022,0.5411308497063174 -0.14018564926317933))	20
6	1	POLYGON((0.5545516405995388 -0.14018564926317933,0.5679724314927601 -0.14018564926317933,0.5679724314927601 -0.09739146819576022,0.5545516405995388 -0.09739146819576022,0.5545516405995388 -0.14018564926317933))	5
7	1	POLYGON((0.5679724314927601 -0.14018564926317933,0.5813932223859815 -0.14018564926317933,0.5813932223859815 -0.09739146819576022,0.5679724314927601 -0.09739146819576022,0.5679724314927601 -0.14018564926317933))	2
8	1	POLYGON((0.5813932223859815 -0.14018564926317933,0.5948140132792028 -0.14018564926317933,0.5948140132792028 -0.09739146819576022,0.5813932223859815 -0.09739146819576022,0.5813932223859815 -0.14018564926317933))	1
9	1	POLYGON((0.5948140132792028 -0.14018564926317933,0.6082348041724241 -0.14018564926317933,0.6082348041724241 -0.09739146819576022,0.5948140132792028 -0.09739146819576022,0.5948140132792028 -0.14018564926317933))	0
10	1	POLYGON((0.6082348041724241 -0.14018564926317933,0.6216555950656455 -0.14018564926317933,0.6216555950656455 -0.09739146819576022,0.6082348041724241 -0.09739146819576022,0.6082348041724241 -0.14018564926317933))	0
