Column	Row	Geometry	Frequency
0	0	POLYGON((0.13887642568002323 0.25486381998855034,0.16194553186808217 0.25486381998855034,0.16194553186808217 0.28223046887664077,0.13887642568002323 0.28223046887664077,0.13887642568002323 0.25486381998855034))	0
1	0	POLYGON((0.16194553186808217 0.25486381998855034,0.18501463805614107 0.25486381998855034,0.18501463805614107 0.28223046887664077,0.16194553186808217 0.28223046887664077,0.16194553186808217 0.25486381998855034))	0
2	0	POLYGON((0.18501463805614107 0.25486381998855034,0.20808374424420004 0.25486381998855034,0.20808374424420004 0.28223046887664077,0.18501463805614107 0.28223046887664077,0.18501463805614107 0.25486381998855034))	0
3	0	POLYGON((0.20808374424420004 0.25486381998855034,0.23115285043225897 0.25486381998855034,0.23115285043225897 0.28223046887664077,0.20808374424420004 0.28223046887664077,0.20808374424420004 0.25486381998855034))	0
4	0	POLYGON((0.23115285043225897 0.25486381998855034,0.2542219566203179 0.25486381998855034,0.2542219566203179 0.28223046887664077,0.23115285043225897 0.28223046887664077,0.23115285043225897 0.25486381998855034))	0
5	0	POLYGON((0.2542219566203179 0.25486381998855034,0.27729106280837684 0.25486381998855034,0.27729106280837684 0.28223046887664077,0.2542219566203179 0.28223046887664077,0.2542219566203179 0.25486381998855034))	0
6	0	POLYGON((0.27729106280837684 0.25486381998855034,0.30036016899643575 0.25486381998855034,0.30036016899643575 0.28223046887664077,0.27729106280837684 0.28223046887664077,0.27729106280837684 0.25486381998855034))	0
7	0	POLYGON((0.30036016899643575 0.25486381998855034,0.3234292751844947 0.25486381998855034,0.3234292751844947 0.28223046887664077,0.30036016899643575 0.28223046887664077,0.30036016899643575 0.25486381998855034))	0
8	0	POLYGON((0.3234292751844947 0.25486381998855034,0.3464983813725536 0.25486381998855034,0.3464983813725536 0.28223046887664077,0.3234292751844947 0.28223046887664077,0.3234292751844947 0.25486381998855034))	1
9	0	POLYGON((0.3464983813725536 0.25486381998855034,0.36956748756061253 0.25486381998855034,0.36956748756061253 0.28223046887664077,0.3464983813725536 0.28223046887664077,0.3464983813725536 0.25486381998855034))	0
10	0	POLYGON((0.36956748756061253 0.25486381998855034,0.3926365937486715 0.25486381998855034,0.3926365937486715 0.28223046887664077,0.36956748756061253 0.28223046887664077,0.36956748756061253 0.25486381998855034))	0
11	0	POLYGON((0.3926365937486715 0.25486381998855034,0.41570569993673046 0.25486381998855034,0.41570569993673046 0.28223046887664077,0.3926365937486715 0.28223046887664077,0.3926365937486715 0.25486381998855034))	0
12	0	POLYGON((0.41570569993673046 0.25486381998855034,0.43877480612478936 0.25486381998855034,0.43877480612478936 0.28223046887664077,0.41570569993673046 0.28223046887664077,0.41570569993673046 0.25486381998855034))	0
13	0	POLYGON((0.43877480612478936 0.25486381998855034,0.46184391231284827 0.25486381998855034,0.46184391231284827 0.28223046887664077,0.43877480612478936 0.28223046887664077,0.43877480612478936 0.25486381998855034))	1
14	0	POLYGON((0.46184391231284827 0.25486381998855034,0.4849130185009072 0.25486381998855034,0.4849130185009072 0.28223046887664077,0.46184391231284827 0.28223046887664077,0.46184391231284827 0.25486381998855034))	0
15	0	POLYGON((0.4849130185009072 0.25486381998855034,0.5079821246889662 0.25486381998855034,0.5079821246889662 0.28223046887664077,0.4849130185009072 0.28223046887664077,0.4849130185009072 0.25486381998855034))	0
16	0	POLYGON((0.5079821246889662 0.25486381998855034,0.5310512308770251 0.25486381998855034,0.5310512308770251 0.28223046887664077,0.5079821246889662 0.28223046887664077,0.5079821246889662 0.25486381998855034))	0
17	0	POLYGON((0.5310512308770251 0.25486381998855034,0.554120337065084 0.25486381998855034,0.554120337065084 0.28223046887664077,0.5310512308770251 0.28223046887664077,0.5310512308770251 0.25486381998855034))	0
