Column	Row	Geometry	Frequency
0	0	POLYGON((0.12479561596364336 0.256162198617522,0.14757100886048494 0.256162198617522,0.14757100886048494 0.28063495785082476,0.12479561596364336 0.28063495785082476,0.12479561596364336 0.256162198617522))	0
1	0	POLYGON((0.14757100886048494 0.256162198617522,0.17034640175732654 0.256162198617522,0.17034640175732654 0.28063495785082476,0.14757100886048494 0.28063495785082476,0.14757100886048494 0.256162198617522))	0
2	0	POLYGON((0.17034640175732654 0.256162198617522,0.19312179465416812 0.256162198617522,0.19312179465416812 0.28063495785082476,0.17034640175732654 0.28063495785082476,0.17034640175732654 0.256162198617522))	0
3	0	POLYGON((0.19312179465416812 0.256162198617522,0.21589718755100973 0.256162198617522,0.21589718755100973 0.28063495785082476,0.19312179465416812 0.28063495785082476,0.19312179465416812 0.256162198617522))	0
4	0	POLYGON((0.21589718755100973 0.256162198617522,0.23867258044785133 0.256162198617522,0.23867258044785133 0.28063495785082476,0.21589718755100973 0.28063495785082476,0.21589718755100973 0.256162198617522))	0
5	0	POLYGON((0.23867258044785133 0.256162198617522,0.2614479733446929 0.256162198617522,0.2614479733446929 0.28063495785082476,0.23867258044785133 0.28063495785082476,0.23867258044785133 0.256162198617522))	0
6	0	POLYGON((0.2614479733446929 0.256162198617522,0.2842233662415345 0.256162198617522,0.2842233662415345 0.28063495785082476,0.2614479733446929 0.28063495785082476,0.2614479733446929 0.256162198617522))	0
7	0	POLYGON((0.2842233662415345 0.256162198617522,0.3069987591383761 0.256162198617522,0.3069987591383761 0.28063495785082476,0.2842233662415345 0.28063495785082476,0.2842233662415345 0.256162198617522))	0
8	0	POLYGON((0.3069987591383761 0.256162198617522,0.32977415203521765 0.256162198617522,0.32977415203521765 0.28063495785082476,0.3069987591383761 0.28063495785082476,0.3069987591383761 0.256162198617522))	0
9	0	POLYGON((0.32977415203521765 0.256162198617522,0.35254954493205926 0.256162198617522,0.35254954493205926 0.28063495785082476,0.32977415203521765 0.28063495785082476,0.32977415203521765 0.256162198617522))	0
10	0	POLYGON((0.35254954493205926 0.256162198617522,0.37532493782890086 0.256162198617522,0.37532493782890086 0.28063495785082476,0.35254954493205926 0.28063495785082476,0.35254954493205926 0.256162198617522))	0
11	0	POLYGON((0.37532493782890086 0.256162198617522,0.39810033072574247 0.256162198617522,0.39810033072574247 0.28063495785082476,0.37532493782890086 0.28063495785082476,0.37532493782890086 0.256162198617522))	0
12	0	POLYGON((0.39810033072574247 0.256162198617522,0.4208757236225841 0.256162198617522,0.4208757236225841 0.28063495785082476,0.39810033072574247 0.28063495785082476,0.39810033072574247 0.256162198617522))	0
13	0	POLYGON((0.4208757236225841 0.256162198617522,0.4436511165194257 0.256162198617522,0.4436511165194257 0.28063495785082476,0.4208757236225841 0.28063495785082476,0.4208757236225841 0.256162198617522))	0
14	0	POLYGON((0.4436511165194257 0.256162198617522,0.4664265094162672 0.256162198617522,0.4664265094162672 0.28063495785082476,0.4436511165194257 0.28063495785082476,0.4436511165194257 0.256162198617522))	0
15	0	POLYGON((0.4664265094162672 0.256162198617522,0.4892019023131088 0.256162198617522,0.4892019023131088 0.28063495785082476,0.4664265094162672 0.28063495785082476,0.4664265094162672 0.256162198617522))	0
16	0	POLYGON((0.4892019023131088 0.256162198617522,0.5119772952099504 0.256162198617522,0.5119772952099504 0.28063495785082476,0.4892019023131088 0.28063495785082476,0.4892019023131088 0.256162198617522))	0
17	0	POLYGON((0.5119772952099504 0.256162198617522,0.534752688106792 0.256162198617522,0.534752688106792 0.28063495785082476,0.5119772952099504 0.28063495785082476,0.5119772952099504 0.256162198617522))	1
18	0	POLYGON((0.534752688106792 0.256162198617522,0.5575280810036336 0.256162198617522,0.5575280810036336 0.28063495785082476,0.534752688106792 0.28063495785082476,0.534752688106792 0.256162198617522))	1
19	0	POLYGON((0.5575280810036336 0.256162198617522,0.5803034739004752 0.256162198617522,0.5803034739004752 0.28063495785082476,0.5575280810036336 0.28063495785082476,0.5575280810036336 0.256162198617522))	0
20	0	POLYGON((0.5803034739004752 0.256162198617522,0.6030788667973167 0.256162198617522,0.6030788667973167 0.28063495785082476,0.5803034739004752 0.28063495785082476,0.5803034739004752 0.256162198617522))	0
21	0	POLYGON((0.6030788667973167 0.256162198617522,0.6258542596941584 0.256162198617522,0.6258542596941584 0.28063495785082476,0.6030788667973167 0.28063495785082476,0.6030788667973167 0.256162198617522))	0
22	0	POLYGON((0.6258542596941584 0.256162198617522,0.6486296525909999 0.256162198617522,0.6486296525909999 0.28063495785082476,0.6258542596941584 0.28063495785082476,0.6258542596941584 0.256162198617522))	1
23	0	POLYGON((0.6486296525909999 0.256162198617522,0.6714050454878415 0.256162198617522,0.6714050454878415 0.28063495785082476,0.6486296525909999 0.28063495785082476,0.6486296525909999 0.256162198617522))	0
24	0	POLYGON((0.6714050454878415 0.256162198617522,0.6941804383846831 0.256162198617522,0.6941804383846831 0.28063495785082476,0.6714050454878415 0.28063495785082476,0.6714050454878415 0.256162198617522))	0
25	0	POLYGON((0.6941804383846831 0.256162198617522,0.7169558312815247 0.256162198617522,0.7169558312815247 0.28063495785082476,0.6941804383846831 0.28063495785082476,0.6941804383846831 0.256162198617522))	0
26	0	POLYGON((0.7169558312815247 0.256162198617522,0.7397312241783662 0.256162198617522,0.7397312241783662 0.28063495785082476,0.7169558312815247 0.28063495785082476,0.7169558312815247 0.256162198617522))	0
27	0	POLYGON((0.7397312241783662 0.256162198617522,0.762506617075208 0.256162198617522,0.762506617075208 0.28063495785082476,0.7397312241783662 0.28063495785082476,0.7397312241783662 0.256162198617522))	0
28	0	POLYGON((0.762506617075208 0.256162198617522,0.7852820099720494 0.256162198617522,0.7852820099720494 0.28063495785082476,0.762506617075208 0.28063495785082476,0.762506617075208 0.256162198617522))	0
29	0	POLYGON((0.7852820099720494 0.256162198617522,0.808057402868891 0.256162198617522,0.808057402868891 0.28063495785082476,0.7852820099720494 0.28063495785082476,0.7852820099720494 0.256162198617522))	0
30	0	POLYGON((0.808057402868891 0.256162198617522,0.8308327957657327 0.256162198617522,0.8308327957657327 0.28063495785082476,0.808057402868891 0.28063495785082476,0.808057402868891 0.256162198617522))	0
31	0	POLYGON((0.8308327957657327 0.256162198617522,0.8536081886625743 0.256162198617522,0.8536081886625743 0.28063495785082476,0.8308327957657327 0.28063495785082476,0.8308327957657327 0.256162198617522))	0
0	1	POLYGON((0.12479561596364336 0.28063495785082476,0.14757100886048494 0.28063495785082476,0.14757100886048494 0.30510771708412754,0.12479561596364336 0.30510771708412754,0.12479561596364336 0.28063495785082476))	0
1	1	POLYGON((0.14757100886048494 0.28063495785082476,0.17034640175732654 0.28063495785082476,0.17034640175732654 0.30510771708412754,0.14757100886048494 0.30510771708412754,0.14757100886048494 0.28063495785082476))	0
2	1	POLYGON((0.17034640175732654 0.28063495785082476,0.19312179465416812 0.28063495785082476,0.19312179465416812 0.30510771708412754,0.17034640175732654 0.30510771708412754,0.17034640175732654 0.28063495785082476))	0
3	1	POLYGON((0.19312179465416812 0.28063495785082476,0.21589718755100973 0.28063495785082476,0.21589718755100973 0.30510771708412754,0.19312179465416812 0.30510771708412754,0.19312179465416812 0.28063495785082476))	0
4	1	POLYGON((0.21589718755100973 0.28063495785082476,0.23867258044785133 0.28063495785082476,0.23867258044785133 0.30510771708412754,0.21589718755100973 0.30510771708412754,0.21589718755100973 0.28063495785082476))	0
5	1	POLYGON((0.23867258044785133 0.28063495785082476,0.2614479733446929 0.28063495785082476,0.2614479733446929 0.30510771708412754,0.23867258044785133 0.30510771708412754,0.23867258044785133 0.28063495785082476))	1
6	1	POLYGON((0.2614479733446929 0.28063495785082476,0.2842233662415345 0.28063495785082476,0.2842233662415345 0.30510771708412754,0.2614479733446929 0.30510771708412754,0.2614479733446929 0.28063495785082476))	0
