Column	Row	Geometry	Frequency
0	0	POLYGON((0.14522311727701998 -0.18484436384948416,0.166944737552521 -0.18484436384948416,0.166944737552521 -0.161401950018354,0.14522311727701998 -0.161401950018354,0.14522311727701998 -0.18484436384948416))	0
1	0	POLYGON((0.166944737552521 -0.18484436384948416,0.18866635782802205 -0.18484436384948416,0.18866635782802205 -0.161401950018354,0.166944737552521 -0.161401950018354,0.166944737552521 -0.18484436384948416))	0
2	0	POLYGON((0.18866635782802205 -0.18484436384948416,0.21038797810352305 -0.18484436384948416,0.21038797810352305 -0.161401950018354,0.18866635782802205 -0.161401950018354,0.18866635782802205 -0.18484436384948416))	0
3	0	POLYGON((0.21038797810352305 -0.18484436384948416,0.23210959837902406 -0.18484436384948416,0.23210959837902406 -0.161401950018354,0.21038797810352305 -0.161401950018354,0.21038797810352305 -0.18484436384948416))	0
4	0	POLYGON((0.23210959837902406 -0.18484436384948416,0.25383121865452507 -0.18484436384948416,0.25383121865452507 -0.161401950018354,0.23210959837902406 -0.161401950018354,0.23210959837902406 -0.18484436384948416))	0
5	0	POLYGON((0.25383121865452507 -0.18484436384948416,0.27555283893002613 -0.18484436384948416,0.27555283893002613 -0.161401950018354,0.25383121865452507 -0.161401950018354,0.25383121865452507 -0.18484436384948416))	0
6	0	POLYGON((0.27555283893002613 -0.18484436384948416,0.29727445920552714 -0.18484436384948416,0.29727445920552714 -0.161401950018354,0.27555283893002613 -0.161401950018354,0.27555283893002613 -0.18484436384948416))	0
7	0	POLYGON((0.29727445920552714 -0.18484436384948416,0.31899607948102815 -0.18484436384948416,0.31899607948102815 -0.161401950018354,0.29727445920552714 -0.161401950018354,0.29727445920552714 -0.18484436384948416))	0
8	0	POLYGON((0.31899607948102815 -0.18484436384948416,0.3407176997565292 -0.18484436384948416,0.3407176997565292 -0.161401950018354,0.31899607948102815 -0.161401950018354,0.31899607948102815 -0.18484436384948416))	0
9	0	POLYGON((0.3407176997565292 -0.18484436384948416,0.3624393200320302 -0.18484436384948416,0.3624393200320302 -0.161401950018354,0.3407176997565292 -0.161401950018354,0.3407176997565292 -0.18484436384948416))	1
10	0	POLYGON((0.3624393200320302 -0.18484436384948416,0.38416094030753123 -0.18484436384948416,0.38416094030753123 -0.161401950018354,0.3624393200320302 -0.161401950018354,0.3624393200320302 -0.18484436384948416))	0
11	0	POLYGON((0.38416094030753123 -0.18484436384948416,0.4058825605830323 -0.18484436384948416,0.4058825605830323 -0.161401950018354,0.38416094030753123 -0.161401950018354,0.38416094030753123 -0.18484436384948416))	0
12	0	POLYGON((0.4058825605830323 -0.18484436384948416,0.42760418085853336 -0.18484436384948416,0.42760418085853336 -0.161401950018354,0.4058825605830323 -0.161401950018354,0.4058825605830323 -0.18484436384948416))	0
13	0	POLYGON((0.42760418085853336 -0.18484436384948416,0.4493258011340343 -0.18484436384948416,0.4493258011340343 -0.161401950018354,0.42760418085853336 -0.161401950018354,0.42760418085853336 -0.18484436384948416))	0
14	0	POLYGON((0.4493258011340343 -0.18484436384948416,0.47104742140953537 -0.18484436384948416,0.47104742140953537 -0.161401950018354,0.4493258011340343 -0.161401950018354,0.4493258011340343 -0.18484436384948416))	0
15	0	POLYGON((0.47104742140953537 -0.18484436384948416,0.4927690416850364 -0.18484436384948416,0.4927690416850364 -0.161401950018354,0.47104742140953537 -0.161401950018354,0.47104742140953537 -0.18484436384948416))	0
16	0	POLYGON((0.4927690416850364 -0.18484436384948416,0.5144906619605374 -0.18484436384948416,0.5144906619605374 -0.161401950018354,0.4927690416850364 -0.161401950018354,0.4927690416850364 -0.18484436384948416))	0
17	0	POLYGON((0.5144906619605374 -0.18484436384948416,0.5362122822360385 -0.18484436384948416,0.5362122822360385 -0.161401950018354,0.5144906619605374 -0.161401950018354,0.5144906619605374 -0.18484436384948416))	0
