Column	Row	Geometry	Frequency
0	0	POLYGON((0.0 0.0,0.031249973909834965 0.0,0.031249973909834965 0.031249792750033815,0.0 0.031249792750033815,0.0 0.0))	120
1	0	POLYGON((0.031249973909834965 0.0,0.06249994781966993 0.0,0.06249994781966993 0.031249792750033815,0.031249973909834965 0.031249792750033815,0.031249973909834965 0.0))	37
2	0	POLYGON((0.06249994781966993 0.0,0.09374992172950489 0.0,0.09374992172950489 0.031249792750033815,0.06249994781966993 0.031249792750033815,0.06249994781966993 0.0))	75
3	0	POLYGON((0.09374992172950489 0.0,0.12499989563933986 0.0,0.12499989563933986 0.031249792750033815,0.09374992172950489 0.031249792750033815,0.09374992172950489 0.0))	104
4	0	POLYGON((0.12499989563933986 0.0,0.15624986954917483 0.0,0.15624986954917483 0.031249792750033815,0.12499989563933986 0.031249792750033815,0.12499989563933986 0.0))	248
5	0	POLYGON((0.15624986954917483 0.0,0.18749984345900977 0.0,0.18749984345900977 0.031249792750033815,0.15624986954917483 0.031249792750033815,0.15624986954917483 0.0))	124
6	0	POLYGON((0.18749984345900977 0.0,0.21874981736884475 0.0,0.21874981736884475 0.031249792750033815,0.18749984345900977 0.031249792750033815,0.18749984345900977 0.0))	358
7	0	POLYGON((0.21874981736884475 0.0,0.24999979127867972 0.0,0.24999979127867972 0.031249792750033815,0.21874981736884475 0.031249792750033815,0.21874981736884475 0.0))	159
8	0	POLYGON((0.24999979127867972 0.0,0.2812497651885147 0.0,0.2812497651885147 0.031249792750033815,0.24999979127867972 0.031249792750033815,0.24999979127867972 0.0))	141
9	0	POLYGON((0.2812497651885147 0.0,0.31249973909834966 0.0,0.31249973909834966 0.031249792750033815,0.2812497651885147 0.031249792750033815,0.2812497651885147 0.0))	25
10	0	POLYGON((0.31249973909834966 0.0,0.34374971300818463 0.0,0.34374971300818463 0.031249792750033815,0.31249973909834966 0.031249792750033815,0.31249973909834966 0.0))	19
11	0	POLYGON((0.34374971300818463 0.0,0.37499968691801955 0.0,0.37499968691801955 0.031249792750033815,0.34374971300818463 0.031249792750033815,0.34374971300818463 0.0))	7
12	0	POLYGON((0.37499968691801955 0.0,0.4062496608278545 0.0,0.4062496608278545 0.031249792750033815,0.37499968691801955 0.031249792750033815,0.37499968691801955 0.0))	77
13	0	POLYGON((0.4062496608278545 0.0,0.4374996347376895 0.0,0.4374996347376895 0.031249792750033815,0.4062496608278545 0.031249792750033815,0.4062496608278545 0.0))	23
14	0	POLYGON((0.4374996347376895 0.0,0.46874960864752446 0.0,0.46874960864752446 0.031249792750033815,0.4374996347376895 0.031249792750033815,0.4374996347376895 0.0))	88
15	0	POLYGON((0.46874960864752446 0.0,0.49999958255735943 0.0,0.49999958255735943 0.031249792750033815,0.46874960864752446 0.031249792750033815,0.46874960864752446 0.0))	52
16	0	POLYGON((0.49999958255735943 0.0,0.5312495564671944 0.0,0.5312495564671944 0.031249792750033815,0.49999958255735943 0.031249792750033815,0.49999958255735943 0.0))	31
17	0	POLYGON((0.5312495564671944 0.0,0.5624995303770294 0.0,0.5624995303770294 0.031249792750033815,0.5312495564671944 0.031249792750033815,0.5312495564671944 0.0))	45
18	0	POLYGON((0.5624995303770294 0.0,0.5937495042868643 0.0,0.5937495042868643 0.031249792750033815,0.5624995303770294 0.031249792750033815,0.5624995303770294 0.0))	4
19	0	POLYGON((0.5937495042868643 0.0,0.6249994781966993 0.0,0.6249994781966993 0.031249792750033815,0.5937495042868643 0.031249792750033815,0.5937495042868643 0.0))	4
20	0	POLYGON((0.6249994781966993 0.0,0.6562494521065343 0.0,0.6562494521065343 0.031249792750033815,0.6249994781966993 0.031249792750033815,0.6249994781966993 0.0))	62
21	0	POLYGON((0.6562494521065343 0.0,0.6874994260163693 0.0,0.6874994260163693 0.031249792750033815,0.6562494521065343 0.031249792750033815,0.6562494521065343 0.0))	146
22	0	POLYGON((0.6874994260163693 0.0,0.7187493999262042 0.0,0.7187493999262042 0.031249792750033815,0.6874994260163693 0.031249792750033815,0.6874994260163693 0.0))	64
23	0	POLYGON((0.7187493999262042 0.0,0.7499993738360391 0.0,0.7499993738360391 0.031249792750033815,0.7187493999262042 0.031249792750033815,0.7187493999262042 0.0))	120
24	0	POLYGON((0.7499993738360391 0.0,0.7812493477458741 0.0,0.7812493477458741 0.031249792750033815,0.7499993738360391 0.031249792750033815,0.7499993738360391 0.0))	21
25	0	POLYGON((0.7812493477458741 0.0,0.812499321655709 0.0,0.812499321655709 0.031249792750033815,0.7812493477458741 0.031249792750033815,0.7812493477458741 0.0))	60
26	0	POLYGON((0.812499321655709 0.0,0.843749295565544 0.0,0.843749295565544 0.031249792750033815,0.812499321655709 0.031249792750033815,0.812499321655709 0.0))	19
27	0	POLYGON((0.843749295565544 0.0,0.874999269475379 0.0,0.874999269475379 0.031249792750033815,0.843749295565544 0.031249792750033815,0.843749295565544 0.0))	23
28	0	POLYGON((0.874999269475379 0.0,0.906249243385214 0.0,0.906249243385214 0.031249792750033815,0.874999269475379 0.031249792750033815,0.874999269475379 0.0))	52
29	0	POLYGON((0.906249243385214 0.0,0.9374992172950489 0.0,0.9374992172950489 0.031249792750033815,0.906249243385214 0.031249792750033815,0.906249243385214 0.0))	26
30	0	POLYGON((0.9374992172950489 0.0,0.9687491912048839 0.0,0.9687491912048839 0.031249792750033815,0.9374992172950489 0.031249792750033815,0.9374992172950489 0.0))	123
31	0	POLYGON((0.9687491912048839 0.0,0.9999991651147189 0.0,0.9999991651147189 0.031249792750033815,0.9687491912048839 0.031249792750033815,0.9687491912048839 0.0))	222
0	1	POLYGON((0.0 0.031249792750033815,0.031249973909834965 0.031249792750033815,0.031249973909834965 0.06249958550006763,0.0 0.06249958550006763,0.0 0.031249792750033815))	163
1	1	POLYGON((0.031249973909834965 0.031249792750033815,0.06249994781966993 0.031249792750033815,0.06249994781966993 0.06249958550006763,0.031249973909834965 0.06249958550006763,0.031249973909834965 0.031249792750033815))	13
2	1	POLYGON((0.06249994781966993 0.031249792750033815,0.09374992172950489 0.031249792750033815,0.09374992172950489 0.06249958550006763,0.06249994781966993 0.06249958550006763,0.06249994781966993 0.031249792750033815))	175
3	1	POLYGON((0.09374992172950489 0.031249792750033815,0.12499989563933986 0.031249792750033815,0.12499989563933986 0.06249958550006763,0.09374992172950489 0.06249958550006763,0.09374992172950489 0.031249792750033815))	132
4	1	POLYGON((0.12499989563933986 0.031249792750033815,0.15624986954917483 0.031249792750033815,0.15624986954917483 0.06249958550006763,0.12499989563933986 0.06249958550006763,0.12499989563933986 0.031249792750033815))	434
5	1	POLYGON((0.15624986954917483 0.031249792750033815,0.18749984345900977 0.031249792750033815,0.18749984345900977 0.06249958550006763,0.15624986954917483 0.06249958550006763,0.15624986954917483 0.031249792750033815))	242
6	1	POLYGON((0.18749984345900977 0.031249792750033815,0.21874981736884475 0.031249792750033815,0.21874981736884475 0.06249958550006763,0.18749984345900977 0.06249958550006763,0.18749984345900977 0.031249792750033815))	94
7	1	POLYGON((0.21874981736884475 0.031249792750033815,0.24999979127867972 0.031249792750033815,0.24999979127867972 0.06249958550006763,0.21874981736884475 0.06249958550006763,0.21874981736884475 0.031249792750033815))	56
8	1	POLYGON((0.24999979127867972 0.031249792750033815,0.2812497651885147 0.031249792750033815,0.2812497651885147 0.06249958550006763,0.24999979127867972 0.06249958550006763,0.24999979127867972 0.031249792750033815))	66
9	1	POLYGON((0.2812497651885147 0.031249792750033815,0.31249973909834966 0.031249792750033815,0.31249973909834966 0.06249958550006763,0.2812497651885147 0.06249958550006763,0.2812497651885147 0.031249792750033815))	16
10	1	POLYGON((0.31249973909834966 0.031249792750033815,0.34374971300818463 0.031249792750033815,0.34374971300818463 0.06249958550006763,0.31249973909834966 0.06249958550006763,0.31249973909834966 0.031249792750033815))	6
11	1	POLYGON((0.34374971300818463 0.031249792750033815,0.37499968691801955 0.031249792750033815,0.37499968691801955 0.06249958550006763,0.34374971300818463 0.06249958550006763,0.34374971300818463 0.031249792750033815))	10
12	1	POLYGON((0.37499968691801955 0.031249792750033815,0.4062496608278545 0.031249792750033815,0.4062496608278545 0.06249958550006763,0.37499968691801955 0.06249958550006763,0.37499968691801955 0.031249792750033815))	1
13	1	POLYGON((0.4062496608278545 0.031249792750033815,0.4374996347376895 0.031249792750033815,0.4374996347376895 0.06249958550006763,0.4062496608278545 0.06249958550006763,0.4062496608278545 0.031249792750033815))	2
14	1	POLYGON((0.4374996347376895 0.031249792750033815,0.46874960864752446 0.031249792750033815,0.46874960864752446 0.06249958550006763,0.4374996347376895 0.06249958550006763,0.4374996347376895 0.031249792750033815))	35
15	1	POLYGON((0.46874960864752446 0.031249792750033815,0.49999958255735943 0.031249792750033815,0.49999958255735943 0.06249958550006763,0.46874960864752446 0.06249958550006763,0.46874960864752446 0.031249792750033815))	123
