Column	Row	Geometry	Frequency
0	0	POLYGON((2.218502273887424E-6 7.011201553375201E-5,0.06262032646178313 7.011201553375201E-5,0.06262032646178313 0.0626327430268311,2.218502273887424E-6 0.0626327430268311,2.218502273887424E-6 7.011201553375201E-5))	86
1	0	POLYGON((0.06262032646178313 7.011201553375201E-5,0.12523843442129237 7.011201553375201E-5,0.12523843442129237 0.0626327430268311,0.06262032646178313 0.0626327430268311,0.06262032646178313 7.011201553375201E-5))	105
2	0	POLYGON((0.12523843442129237 7.011201553375201E-5,0.1878565423808016 7.011201553375201E-5,0.1878565423808016 0.0626327430268311,0.12523843442129237 0.0626327430268311,0.12523843442129237 7.011201553375201E-5))	94
3	0	POLYGON((0.1878565423808016 7.011201553375201E-5,0.25047465034031086 7.011201553375201E-5,0.25047465034031086 0.0626327430268311,0.1878565423808016 0.0626327430268311,0.1878565423808016 7.011201553375201E-5))	100
4	0	POLYGON((0.25047465034031086 7.011201553375201E-5,0.3130927582998201 7.011201553375201E-5,0.3130927582998201 0.0626327430268311,0.25047465034031086 0.0626327430268311,0.25047465034031086 7.011201553375201E-5))	98
5	0	POLYGON((0.3130927582998201 7.011201553375201E-5,0.3757108662593293 7.011201553375201E-5,0.3757108662593293 0.0626327430268311,0.3130927582998201 0.0626327430268311,0.3130927582998201 7.011201553375201E-5))	112
6	0	POLYGON((0.3757108662593293 7.011201553375201E-5,0.43832897421883854 7.011201553375201E-5,0.43832897421883854 0.0626327430268311,0.3757108662593293 0.0626327430268311,0.3757108662593293 7.011201553375201E-5))	89
7	0	POLYGON((0.43832897421883854 7.011201553375201E-5,0.5009470821783478 7.011201553375201E-5,0.5009470821783478 0.0626327430268311,0.43832897421883854 0.0626327430268311,0.43832897421883854 7.011201553375201E-5))	89
8	0	POLYGON((0.5009470821783478 7.011201553375201E-5,0.563565190137857 7.011201553375201E-5,0.563565190137857 0.0626327430268311,0.5009470821783478 0.0626327430268311,0.5009470821783478 7.011201553375201E-5))	103
9	0	POLYGON((0.563565190137857 7.011201553375201E-5,0.6261832980973663 7.011201553375201E-5,0.6261832980973663 0.0626327430268311,0.563565190137857 0.0626327430268311,0.563565190137857 7.011201553375201E-5))	96
10	0	POLYGON((0.6261832980973663 7.011201553375201E-5,0.6888014060568756 7.011201553375201E-5,0.6888014060568756 0.0626327430268311,0.6261832980973663 0.0626327430268311,0.6261832980973663 7.011201553375201E-5))	93
11	0	POLYGON((0.6888014060568756 7.011201553375201E-5,0.7514195140163847 7.011201553375201E-5,0.7514195140163847 0.0626327430268311,0.6888014060568756 0.0626327430268311,0.6888014060568756 7.011201553375201E-5))	87
12	0	POLYGON((0.7514195140163847 7.011201553375201E-5,0.814037621975894 7.011201553375201E-5,0.814037621975894 0.0626327430268311,0.7514195140163847 0.0626327430268311,0.7514195140163847 7.011201553375201E-5))	82
13	0	POLYGON((0.814037621975894 7.011201553375201E-5,0.8766557299354032 7.011201553375201E-5,0.8766557299354032 0.0626327430268311,0.814037621975894 0.0626327430268311,0.814037621975894 7.011201553375201E-5))	95
14	0	POLYGON((0.8766557299354032 7.011201553375201E-5,0.9392738378949126 7.011201553375201E-5,0.9392738378949126 0.0626327430268311,0.8766557299354032 0.0626327430268311,0.8766557299354032 7.011201553375201E-5))	99
15	0	POLYGON((0.9392738378949126 7.011201553375201E-5,1.0018919458544218 7.011201553375201E-5,1.0018919458544218 0.0626327430268311,0.9392738378949126 0.0626327430268311,0.9392738378949126 7.011201553375201E-5))	102
0	1	POLYGON((2.218502273887424E-6 0.0626327430268311,0.06262032646178313 0.0626327430268311,0.06262032646178313 0.12519537403812844,2.218502273887424E-6 0.12519537403812844,2.218502273887424E-6 0.0626327430268311))	98
1	1	POLYGON((0.06262032646178313 0.0626327430268311,0.12523843442129237 0.0626327430268311,0.12523843442129237 0.12519537403812844,0.06262032646178313 0.12519537403812844,0.06262032646178313 0.0626327430268311))	97
2	1	POLYGON((0.12523843442129237 0.0626327430268311,0.1878565423808016 0.0626327430268311,0.1878565423808016 0.12519537403812844,0.12523843442129237 0.12519537403812844,0.12523843442129237 0.0626327430268311))	103
3	1	POLYGON((0.1878565423808016 0.0626327430268311,0.25047465034031086 0.0626327430268311,0.25047465034031086 0.12519537403812844,0.1878565423808016 0.12519537403812844,0.1878565423808016 0.0626327430268311))	102
4	1	POLYGON((0.25047465034031086 0.0626327430268311,0.3130927582998201 0.0626327430268311,0.3130927582998201 0.12519537403812844,0.25047465034031086 0.12519537403812844,0.25047465034031086 0.0626327430268311))	90
5	1	POLYGON((0.3130927582998201 0.0626327430268311,0.3757108662593293 0.0626327430268311,0.3757108662593293 0.12519537403812844,0.3130927582998201 0.12519537403812844,0.3130927582998201 0.0626327430268311))	98
