2020-06-10 02:56:54 INFO  BatchJoin$:64 - Join result:diagonal_001.csv,diagonal_002.csv,72105,242249
2020-06-10 02:57:06 INFO  BatchJoin$:64 - Join result:diagonal_001.csv,diagonal_003.csv,42197,168294
2020-06-10 02:57:17 INFO  BatchJoin$:64 - Join result:diagonal_001.csv,diagonal_004.csv,51862,187655
2020-06-10 02:57:24 INFO  BatchJoin$:64 - Join result:diagonal_001.csv,diagonal_005.csv,36278,131831
2020-06-10 02:57:34 INFO  BatchJoin$:64 - Join result:diagonal_001.csv,diagonal_006.csv,63433,206594
2020-06-10 02:57:42 INFO  BatchJoin$:64 - Join result:diagonal_001.csv,diagonal_007.csv,36455,130262
2020-06-10 02:57:52 INFO  BatchJoin$:64 - Join result:diagonal_001.csv,diagonal_008.csv,83087,238333
2020-06-10 02:57:59 INFO  BatchJoin$:64 - Join result:diagonal_001.csv,diagonal_009.csv,37662,126746
2020-06-10 02:58:08 INFO  BatchJoin$:64 - Join result:diagonal_001.csv,diagonal_010.csv,69340,222561
2020-06-10 02:58:14 INFO  BatchJoin$:64 - Join result:diagonal_001.csv,diagonal_011.csv,40219,156943
2020-06-10 02:58:22 INFO  BatchJoin$:64 - Join result:diagonal_001.csv,diagonal_012.csv,39906,163541
2020-06-10 02:58:28 INFO  BatchJoin$:64 - Join result:diagonal_001.csv,diagonal_013.csv,50110,186154
2020-06-10 02:58:36 INFO  BatchJoin$:64 - Join result:diagonal_001.csv,diagonal_014.csv,74690,229672
2020-06-10 02:58:42 INFO  BatchJoin$:64 - Join result:diagonal_001.csv,diagonal_015.csv,39947,156253
2020-06-10 02:58:50 INFO  BatchJoin$:64 - Join result:diagonal_001.csv,diagonal_016.csv,57224,213426
2020-06-10 02:58:58 INFO  BatchJoin$:64 - Join result:diagonal_001.csv,diagonal_017.csv,48581,158471
2020-06-10 02:59:05 INFO  BatchJoin$:64 - Join result:diagonal_001.csv,diagonal_018.csv,83763,247509
2020-06-10 02:59:13 INFO  BatchJoin$:64 - Join result:diagonal_001.csv,diagonal_019.csv,47742,201025
2020-06-10 02:59:20 INFO  BatchJoin$:64 - Join result:diagonal_001.csv,diagonal_020.csv,60862,210853
2020-06-10 02:59:28 INFO  BatchJoin$:64 - Join result:diagonal_001.csv,diagonal_021.csv,48948,199767
2020-06-10 02:59:34 INFO  BatchJoin$:64 - Join result:diagonal_001.csv,diagonal_022.csv,49194,160588
2020-06-10 02:59:41 INFO  BatchJoin$:64 - Join result:diagonal_001.csv,diagonal_023.csv,50664,164136
2020-06-10 02:59:50 INFO  BatchJoin$:64 - Join result:diagonal_001.csv,diagonal_024.csv,86282,296995
2020-06-10 02:59:56 INFO  BatchJoin$:64 - Join result:diagonal_001.csv,diagonal_025.csv,51532,179354
2020-06-10 03:00:02 INFO  BatchJoin$:69 - Join result:diagonal_001.csv,gaussian_001.csv,error,error
2020-06-10 03:00:05 INFO  BatchJoin$:69 - Join result:diagonal_001.csv,gaussian_002.csv,error,error
2020-06-10 03:00:11 INFO  BatchJoin$:69 - Join result:diagonal_001.csv,gaussian_003.csv,error,error
2020-06-10 03:00:15 INFO  BatchJoin$:69 - Join result:diagonal_001.csv,gaussian_004.csv,error,error
2020-06-10 03:00:20 INFO  BatchJoin$:69 - Join result:diagonal_001.csv,gaussian_005.csv,error,error
2020-06-10 03:00:24 INFO  BatchJoin$:69 - Join result:diagonal_001.csv,gaussian_006.csv,error,error
2020-06-10 03:00:27 INFO  BatchJoin$:69 - Join result:diagonal_001.csv,gaussian_007.csv,error,error
2020-06-10 03:00:31 INFO  BatchJoin$:69 - Join result:diagonal_001.csv,gaussian_008.csv,error,error
2020-06-10 03:00:36 INFO  BatchJoin$:69 - Join result:diagonal_001.csv,gaussian_009.csv,error,error
2020-06-10 03:00:39 INFO  BatchJoin$:69 - Join result:diagonal_001.csv,gaussian_010.csv,error,error
2020-06-10 03:00:42 INFO  BatchJoin$:69 - Join result:diagonal_001.csv,gaussian_011.csv,error,error
2020-06-10 03:00:45 INFO  BatchJoin$:69 - Join result:diagonal_001.csv,gaussian_012.csv,error,error
2020-06-10 03:00:47 INFO  BatchJoin$:69 - Join result:diagonal_001.csv,gaussian_013.csv,error,error
2020-06-10 03:00:53 INFO  BatchJoin$:69 - Join result:diagonal_001.csv,gaussian_014.csv,error,error
2020-06-10 03:00:56 INFO  BatchJoin$:69 - Join result:diagonal_001.csv,gaussian_015.csv,error,error
2020-06-10 03:01:01 INFO  BatchJoin$:69 - Join result:diagonal_001.csv,gaussian_016.csv,error,error
2020-06-10 03:01:04 INFO  BatchJoin$:69 - Join result:diagonal_001.csv,gaussian_017.csv,error,error
2020-06-10 03:01:06 INFO  BatchJoin$:69 - Join result:diagonal_001.csv,gaussian_018.csv,error,error
2020-06-10 03:01:09 INFO  BatchJoin$:69 - Join result:diagonal_001.csv,gaussian_019.csv,error,error
2020-06-10 03:01:15 INFO  BatchJoin$:69 - Join result:diagonal_001.csv,gaussian_020.csv,error,error
2020-06-10 03:01:17 INFO  BatchJoin$:69 - Join result:diagonal_001.csv,gaussian_021.csv,error,error
2020-06-10 03:01:20 INFO  BatchJoin$:69 - Join result:diagonal_001.csv,gaussian_022.csv,error,error
2020-06-10 03:01:23 INFO  BatchJoin$:69 - Join result:diagonal_001.csv,gaussian_023.csv,error,error
2020-06-10 03:01:26 INFO  BatchJoin$:69 - Join result:diagonal_001.csv,gaussian_024.csv,error,error
2020-06-10 03:01:31 INFO  BatchJoin$:69 - Join result:diagonal_001.csv,gaussian_025.csv,error,error
2020-06-10 03:01:40 INFO  BatchJoin$:64 - Join result:diagonal_001.csv,parcel_001.csv,29298,90296
2020-06-10 03:01:46 INFO  BatchJoin$:64 - Join result:diagonal_001.csv,parcel_002.csv,29281,91908
2020-06-10 03:01:55 INFO  BatchJoin$:64 - Join result:diagonal_001.csv,parcel_003.csv,31188,106842
2020-06-10 03:02:03 INFO  BatchJoin$:64 - Join result:diagonal_001.csv,parcel_004.csv,30437,100348
2020-06-10 03:02:10 INFO  BatchJoin$:64 - Join result:diagonal_001.csv,parcel_005.csv,29130,89107
2020-06-10 03:02:16 INFO  BatchJoin$:64 - Join result:diagonal_001.csv,parcel_006.csv,28310,83274
2020-06-10 03:02:23 INFO  BatchJoin$:64 - Join result:diagonal_001.csv,parcel_007.csv,29502,92908
2020-06-10 03:02:30 INFO  BatchJoin$:64 - Join result:diagonal_001.csv,parcel_008.csv,32074,116187
2020-06-10 03:02:39 INFO  BatchJoin$:64 - Join result:diagonal_001.csv,parcel_009.csv,31288,104274
2020-06-10 03:02:47 INFO  BatchJoin$:64 - Join result:diagonal_001.csv,parcel_010.csv,29913,96788
2020-06-10 03:02:52 INFO  BatchJoin$:64 - Join result:diagonal_001.csv,parcel_011.csv,28895,88198
2020-06-10 03:02:58 INFO  BatchJoin$:64 - Join result:diagonal_001.csv,parcel_012.csv,28923,88629
2020-06-10 03:03:05 INFO  BatchJoin$:64 - Join result:diagonal_001.csv,parcel_013.csv,30069,97635
2020-06-10 03:03:12 INFO  BatchJoin$:64 - Join result:diagonal_001.csv,parcel_014.csv,30937,106043
